1256444
/m/04mp83
/m/04mp83
Allen Steele

104 1
106 1
2070 1
21 1
226 1
230 1
2300 2
27 1
2c 1
46 1
47 6
a 18
abandon 1
aboard 1
about 1
adventures 1
after 4
against 1
age 1
agent 1
ai 5
alabama 5
alien 2
all 2
along 1
america 1
american 1
an 1
and 17
anything 1
approaching 1
are 5
arms 1
around 2
arrive 1
art 1
as 3
at 9
attempt 1
attempting 1
aus 1
authoritarian 1
automatically 1
awake 1
awakened 3
awayfar 1
b 1
banks 1
be 5
bear 4
beasts 1
become 1
behave 1
better 1
biosphere 1
biostasis 2
birdlike 1
board 1
body 1
boids 1
books 2
bot 1
brief 1
built 1
but 5
by 2
captain 4
carlos 1
celebration 1
change 2
changed 2
chat 1
chess 1
chooses 1
civilians 1
clearance 1
climb 1
codes 1
colonel 1
common 1
communications 1
conservative 1
consists 1
conspirators 1
constructed 1
contact 1
cost 1
could 1
coyote 8
coyotes 1
created 1
creatures 1
crew 3
crewmates 1
crews 1
cruise 1
currently 1
day 1
days 1
described 1
destination 2
destroy 1
devouring 1
did 1
died 1
dilation 1
directs 1
docked 1
dog 1
doing 1
dreamless 1
due 1
during 1
e 1
eagle 1
earth 2
earths 1
eat 1
either 1
else 1
enough 2
entered 1
equatorial 1
eric 1
escape 1
even 1
eventually 1
everything 1
exactly 1
existence 1
expecting 1
expelled 1
explaining 1
fall 2
fantastic 1
finds 1
first 2
for 7
forms 1
four 2
fourth 1
fox 1
friendly 1
from 4
future 1
gas 1
get 1
giant 1
gigantic 1
gillis 13
glance 1
goat 1
goes 1
going 1
grasslands 1
green 1
grueling 1
gunther 2
gunthers 1
habitable 2
had 1
handful 1
has 4
have 1
hawk 1
he 7
helm 1
helms 1
his 8
home 2
honorable 1
horrified 1
hours 2
immortality 1
impossible 1
in 7
incidents 1
initiates 1
insane 1
inside 1
instead 1
into 4
is 12
it 2
its 5
journey 1
just 1
keep 1
knew 1
known 1
ladder 1
landing 1
large 1
larger 1
last 2
late 1
learns 1
leaves 1
lee 7
les 1
leslie 2
life 4
light 1
lived 1
lonely 1
look 1
lush 1
main 1
maintenance 1
majoris 6
manages 1
mars 1
may 1
minute 2
mix 1
months 2
moon 1
more 2
mr 1
much 1
mystery 1
mythology 1
named 2
native 1
nevertheless 1
new 2
no 1
not 2
note 1
novel 1
now 1
of 17
off 1
officer 1
old 1
on 5
options 1
or 2
orbits 1
orders 1
originally 1
other 1
override 1
own 1
pace 1
painted 1
painting 1
passed 1
peculiar 1
per 1
plan 1
planet 1
planets 1
planned 1
plans 1
plants 1
playing 1
practically 1
president 1
prince 1
procedures 1
program 1
put 1
questions 1
rations 1
raven 1
reading 1
reese 1
regime 1
regular 1
remainder 1
remains 1
republic 2
return 1
river 1
rivers 1
robert 1
rupurt 1
sailed 1
satellite 1
satellites 1
scenes 1
scheduled 1
scientists 1
seasons 1
seem 1
seen 1
senior 1
settlement 1
ship 4
ships 5
similar 1
six 2
sleep 2
slower 1
snake 1
so 1
soldiers 3
solitary 1
some 1
someone 1
something 1
space 1
spared 1
starship 1
states 1
steal 1
stop 1
stories 1
story 1
stowaways 1
stretches 1
sudden 1
suicide 2
supplies 2
support 1
surviving 1
system 3
take 1
takes 1
tells 1
term 1
terribly 1
than 3
that 3
the 60
their 2
there 1
these 1
they 2
third 1
this 2
those 1
three 2
time 1
to 22
too 1
treason 1
trip 1
trying 1
turn 1
two 1
tyrannical 1
unique 1
united 3
until 1
up 1
ura 1
urs 1
ursae 6
urss 1
using 2
velocity 1
very 1
virtual 1
wake 1
wallace 1
walls 1
was 5
water 1
ways 1
welcoming 1
wendy 1
were 3
what 1
when 2
which 3
while 1
why 1
will 1
wishing 1
with 7
wolf 1
working 1
world 2
would 3
writing 1
wrong 1
year 4
years 4
