5369370
/m/0dht1n
/m/0dht1n
Ian Rankin
1997
a 3
aberdeen 1
accused 1
an 1
and 3
are 1
at 1
being 1
between 1
bible 1
big 1
bribes 1
by 1
cases 1
catch 1
detective 1
do 1
edinburgh 1
four 1
from 1
glasgow 2
has 2
he 3
infamous 1
inquiry 1
inspector 1
internal 1
investigating 1
is 1
it 1
john 2
journalists 1
justice 1
killer 1
led 1
man 1
meanwhile 1
miscarriage 1
mr 1
north 1
of 3
on 2
once 1
over 1
rebus 3
sea 1
shetland 1
suspects 1
taking 1
the 2
then 1
to 3
travels 1
trying 1
tv 1
under 1
while 1
working 1
