25822529
/m/09v4lpc
/m/09v4lpc
Joe Hill
2010-02-16
{"/m/039vk": "Gothic fiction", "/m/0134b1": "Contemporary fantasy", "/m/02xlf": "Fiction"}
26yearold 1
a 54
ablaze 1
able 2
about 8
abruptly 1
accident 1
accidentally 1
acquaintance 1
acquainted 1
acquired 1
across 1
activities 1
actual 1
adult 1
affair 1
affinity 1
after 1
against 1
agrees 1
aid 1
airport 1
all 3
along 1
already 2
also 4
although 3
always 2
ambush 1
amc 1
among 1
an 10
and 102
animalistic 1
another 5
antihero 1
anyone 1
anyway 1
apartment 2
apparently 1
appears 1
appreciate 1
are 4
argues 1
argument 1
armed 1
around 1
arrives 2
as 19
asserts 1
associate 1
asssaulted 1
at 5
attack 2
attacked 1
attempted 1
attempts 1
attic 2
awaiting 1
aware 1
away 2
awoke 1
back 5
banging 1
be 9
beats 2
became 1
because 4
become 4
becomes 2
been 2
before 6
befriend 1
began 1
begin 3
begins 2
begs 1
being 3
believe 3
believes 2
believing 3
benefits 1
best 1
bet 1
between 1
beyond 1
binge 1
bitten 1
black 1
blasting 1
blatantly 1
board 1
body 1
bomb 3
bombs 1
bony 1
book 1
both 3
boyfriend 1
brain 1
brake 2
break 2
breaks 2
breast 3
briefly 1
britain 1
brother 2
burned 1
burning 2
burnt 1
but 9
by 17
call 2
came 1
can 4
cancer 4
canister 1
cannot 2
cant 1
car 6
caring 1
cart 2
cat 2
cause 1
caused 1
causing 1
cell 2
changed 2
chapters 1
character 1
characteristics 1
characters 1
charged 1
cheating 1
chemo 2
cherry 6
childhood 2
choice 1
choose 1
christian 1
church 2
city 1
climbed 1
climbs 1
clinic 1
close 2
clothes 1
code 3
collects 1
come 1
committed 1
common 1
completely 1
compulsion 1
concludes 2
confesses 1
confessing 1
conflicts 1
confused 1
congregating 1
congressman 3
consciousness 1
conservative 1
considered 1
consistently 1
consists 1
contact 2
containing 1
continues 1
conversations 1
convinces 4
corpse 1
correctly 1
cover 1
crashes 1
crawls 1
creation 1
creations 1
crime 1
cross 4
crowd 1
dale 2
damage 2
damages 1
dark 1
darkest 1
day 1
de 1
dead 1
deal 1
death 2
debt 1
decided 3
decides 2
deciphers 1
decision 1
delinquent 1
delivers 1
dementia 1
departing 1
describes 1
desire 2
desires 1
desperately 1
despite 1
detective 1
detest 1
detested 2
detonates 1
devil 4
devillike 1
diabolic 2
didnt 1
die 2
died 1
dies 1
discover 1
discovered 2
discovers 3
discuss 1
distraction 1
divided 1
do 3
doctor 1
does 1
door 5
doubts 1
douses 1
down 5
dress 1
drive 1
drives 3
drunk 2
drunken 2
dubbing 1
each 3
eager 1
ear 1
earlier 1
elusive 1
emergency 1
empty 1
encounters 1
encourages 1
end 1
ends 1
england 1
enlightens 1
enough 1
enters 1
episode 1
eric 8
escaping 1
events 1
ever 2
excuse 1
exit 1
experience 2
experiences 1
explains 1
explored 2
exposed 1
express 1
expresses 1
eye 2
eyes 1
face 1
fact 2
facto 1
failed 1
faint 1
fall 1
falls 1
family 2
fashion 1
father 1
fear 1
feared 1
feed 1
feel 1
feeling 1
feelings 2
feels 1
felt 1
fence 1
fifty 1
fight 1
filled 1
finally 1
find 4
finds 6
finishing 1
fire 6
first 1
fit 1
five 2
fix 1
fixing 1
flames 3
flashback 2
flee 1
flesh 1
flirtatiously 1
floor 1
following 1
follows 1
for 12
forget 1
forgetting 1
formed 1
foundry 7
friend 3
friends 2
from 15
front 1
fulfilling 1
fully 1
gain 1
gasoline 2
gestures 1
get 3
gideon 1
girl 2
girlfriend 3
give 1
gives 1
glenna 7
gloating 1
go 3
god 5
goes 6
going 1
gorily 1
gospel 1
grandmother 2
greets 1
gremlin 1
grew 1
groundless 1
group 1
growth 1
gruesomely 1
guess 1
guiltridden 1
guilty 1
guns 1
had 8
hair 1
hallucination 1
hampshire 1
hannity 1
happened 1
has 12
hatred 1
have 10
havemdashin 1
having 5
hazy 1
he 67
head 2
healed 1
healing 1
health 2
hear 1
heard 1
held 1
her 19
here 1
hereget 1
high 4
him 35
himself 2
his 45
hismdashhe 1
hit 1
home 2
hometown 1
honest 1
hope 1
hopes 1
hoping 2
horns 13
hospital 2
house 2
how 3
however 1
humans 1
identities 1
if 2
ig 64
ignatius 1
imagined 1
imitation 1
immediately 2
impaired 1
impaled 1
implying 1
impress 1
impulse 1
in 38
includes 1
individuals 1
inebriated 1
infatuated 1
influence 4
infuriated 1
injured 1
inner 1
instead 1
intended 1
interest 1
interested 1
into 8
involvement 2
is 37
it 17
items 1
its 1
itself 1
jagger 1
job 2
joined 1
journey 1
just 3
juvenile 1
keep 1
keith 1
kill 3
killed 5
killer 1
kills 1
knew 1
knocking 2
knowing 2
knowles 1
knows 3
largely 1
larger 1
last 1
latenight 1
later 6
lead 1
learns 1
leave 2
leaves 3
leaving 3
lee 43
left 1
lets 1
lie 1
life 2
light 2
lights 1
like 1
line 1
listens 1
living 1
long 1
look 1
loses 1
loss 1
love 3
loves 2
loving 1
lyrics 1
mails 1
make 2
makes 1
mammogram 1
manipulate 1
may 2
meaning 1
means 1
meanwhile 1
medical 1
meet 1
meets 2
member 1
merrin 30
message 1
met 1
mick 1
milky 1
mimic 1
mimicking 1
mind 5
miraculously 1
missing 1
months 2
more 5
moreover 1
morning 3
morse 3
most 1
mother 4
motif 1
move 1
murder 4
murdered 3
murders 1
musician 1
mutual 1
my 1
mysterious 2
naked 2
name 1
named 1
narrowly 1
near 3
necklace 3
need 1
needed 1
needs 2
negative 1
neither 2
never 2
new 2
nicholson 1
night 6
no 3
nor 3
nose 1
not 4
note 1
nothing 1
notices 2
novel 2
nun 1
of 49
off 4
office 1
officers 2
old 2
older 1
on 12
once 1
one 5
only 6
open 1
openly 1
opinion 1
opinions 1
opportunity 1
oral 1
order 2
other 5
others 1
out 4
over 3
overcoat 1
owing 1
own 3
packing 1
pain 1
papers 1
paraphernalia 1
parchment 1
parents 2
parking 1
partially 1
partner 1
party 1
passes 1
passion 1
past 1
peace 1
people 2
perceives 2
perfectly 1
performed 1
perhaps 1
perilous 1
permanently 1
perrish 4
person 1
personality 1
perspective 1
persuades 1
pestered 1
phone 3
physical 1
pick 1
piece 1
place 1
placed 1
plane 1
pleased 1
pleasurable 1
point 1
police 2
position 1
pounding 1
power 4
powerful 1
pray 1
precarious 1
prepares 1
presence 1
present 2
pretending 1
previous 1
previously 1
priest 1
psychopathic 1
public 1
pulled 1
pulse 1
pursue 2
pursuit 1
quick 1
quickly 1
quiet 1
quit 1
quoting 1
rain 1
rape 2
raped 1
reached 1
read 1
reads 1
real 1
reality 1
realization 1
realizes 2
reappeared 1
reappears 1
reason 1
receive 1
receives 1
recuperating 1
red 1
reddening 1
redefine 1
redheaded 1
referring 1
refers 1
reflecting 1
refused 1
regan 1
regarding 1
relationship 2
release 1
releases 1
religious 1
relocate 1
remember 1
remembered 1
remembers 1
renowned 1
repeating 1
responsible 1
restaurant 2
restore 1
restored 2
resuscitated 1
returning 1
returns 2
reunties 1
revealed 2
reveals 1
revelations 1
richards 1
ride 1
rides 1
riding 1
rising 1
river 3
rolling 2
rolls 1
romance 1
romantic 2
room 1
rules 1
rushing 1
save 1
says 1
school 3
scoops 1
second 1
secrets 1
section 1
sections 1
security 2
see 2
seeing 1
seemingly 2
seems 2
sees 3
selfimmolate 1
sensitive 1
serious 1
services 1
set 1
sex 2
sexual 1
sexually 1
shares 1
she 23
shed 1
shoots 1
shopping 2
shotgun 1
should 2
shows 1
similar 1
sister 1
six 1
skin 1
skintoskin 1
skirt 1
slams 1
sleeping 1
slide 1
slope 1
small 1
snake 3
snakebite 1
snakes 2
so 1
sold 1
somdashbut 1
some 5
somehow 1
someone 1
sometime 1
son 2
song 2
soon 3
sound 1
specifically 1
speech 1
speed 1
spike 1
sprouted 1
star 1
started 1
startles 1
state 1
stayed 1
stolen 1
stones 2
story 1
strange 1
strangely 1
stray 1
struggle 1
such 1
sudden 1
suddenly 3
suicide 1
surprised 1
surrounded 1
survives 1
suspecting 1
swatted 1
sympathetic 1
sympathy 1
take 1
takes 1
talked 1
talks 1
tantamount 1
team 1
tears 1
telepathically 1
tells 2
temples 2
ten 1
terry 22
than 2
thanks 1
that 43
the 139
their 8
theirs 1
them 3
themes 1
then 6
there 4
these 1
they 13
theyre 1
thing 1
things 2
think 1
thinking 1
thinks 1
this 6
those 2
though 7
thoughts 1
throat 1
time 7
tingling 1
to 100
too 4
torture 1
tortured 1
tosses 1
touches 1
tourneau 5
trades 1
trail 1
trap 3
tree 3
treehouse 9
tried 1
true 1
trumpet 2
turns 1
tv 2
two 5
ugliest 1
ugly 1
ultimately 1
unable 1
uncomfortable 1
under 2
undergoes 1
unexpectedly 1
unimpaired 1
unnoticed 1
unsuccessfully 1
until 1
unwanted 1
up 6
urges 2
use 1
uses 3
various 1
vehicle 1
venomous 2
venting 1
versions 1
viciously 1
villain 1
virginity 1
vision 1
visions 1
visit 1
visited 1
visits 1
voice 2
voicesmdash 1
wake 1
wakes 1
want 4
wanted 1
was 5
water 1
way 1
weak 1
wear 1
wearing 1
wedding 1
well 1
what 5
wheelchair 1
when 14
whenever 1
where 5
which 5
while 7
who 7
whom 2
will 5
williams 6
wine 1
wishes 1
with 32
within 2
without 1
witness 1
woman 1
women 3
won 1
woods 6
words 1
works 1
would 4
wrist 1
written 4
wrong 1
years 1
york 1
you 7
younger 2
youre 1
