714151
/m/0352zf
/m/0352zf
Vernor Vinge
1999-03
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 21
aboard 1
above 1
accepts 1
active 1
admire 1
adopt 1
advantage 1
after 1
against 4
aiding 1
all 1
ambitions 1
ambush 1
an 4
and 22
animation 1
announces 1
appliances 1
are 1
arrive 1
as 10
at 2
attempt 1
attrition 1
base 1
become 2
before 2
begins 2
benefits 1
between 2
biological 1
both 2
brain 2
brilliant 1
build 1
bumbling 1
but 2
by 6
call 1
can 1
center 1
certain 1
changes 1
civilization 5
class 1
clearly 1
climb 1
close 1
coloured 1
combine 1
combined 1
coming 1
concurrent 1
confrontation 1
continue 1
control 1
cooperation 2
crew 1
critical 1
culture 3
cultures 1
decades 1
defeat 1
demonstrating 1
descriptions 1
despair 1
devastating 1
development 1
device 1
dia 1
dilute 1
domination 1
doubles 1
during 2
elder 1
emergent 4
emergentqeng 1
emergents 15
end 1
entire 1
essentially 1
evaluate 1
events 1
experiences 1
extent 1
far 1
few 1
fight 1
find 1
fleet 7
focus 4
focused 2
for 3
force 1
forced 1
form 1
founder 1
free 2
from 1
future 2
galaxy 1
go 1
gradually 1
group 1
has 1
have 1
he 4
held 1
highrisk 1
him 1
his 5
history 1
ho 11
home 1
homeworld 1
however 2
human 2
humanlike 1
idea 1
if 1
ignorance 1
in 8
increasingly 1
induce 1
inept 1
infect 1
infrastructure 1
into 2
is 1
it 3
its 2
itself 1
join 1
leads 2
learned 1
liaison 1
liberalminded 1
living 1
losses 1
luck 1
lurker 1
mainly 1
major 1
management 1
manager 1
managers 1
manifested 1
manipulate 1
manipulating 1
many 1
mass 1
massive 1
mastered 1
mental 1
merge 1
mindrot 3
molecules 1
moment 1
monitoring 1
mritype 1
much 1
need 1
negotiates 1
neurotoxins 1
nomenclature 1
not 1
now 1
nuclear 1
nuwen 2
obsession 1
obsolescent 1
oddly 1
of 22
offer 1
officer 1
on 3
only 1
onoff 2
onset 1
oppressive 1
or 1
order 3
originally 1
over 2
own 2
paramagnetic 1
partner 1
parts 1
people 1
personal 1
pham 5
picaresque 1
plague 1
plan 1
plans 2
plot 2
plotting 1
point 1
political 1
population 1
portion 1
posing 1
position 1
power 1
prefiguring 1
primarily 1
progressive 1
provoke 1
pseudonym 1
qeng 10
reception 1
redemption 1
regime 1
release 1
remnants 1
repair 1
requires 1
resilience 1
rest 1
restricted 1
retain 1
revelations 1
revenge 1
ruling 1
ruses 1
security 1
seize 2
series 1
shortly 1
sides 1
single 1
small 1
socalled 1
some 2
source 1
specialty 1
specific 1
spider 4
spiders 2
star 2
starts 1
story 1
strange 1
strategy 1
struggles 1
subjugate 1
subsequently 1
subverting 1
subverts 1
sun 1
surveillance 1
survives 1
suspended 1
symptoms 1
systems 2
take 2
technicians 1
technocratic 1
technological 3
technology 3
that 3
the 65
their 3
them 2
then 1
these 1
they 4
this 2
through 4
time 1
timed 1
to 26
tolerated 1
tool 1
totalitarian 1
towards 1
trade 1
trading 3
traditions 1
traveled 1
triggers 1
trinli 1
turning 1
turns 1
two 2
under 2
understanding 2
unfolds 1
unique 1
until 1
up 2
usage 1
use 2
uses 1
variant 1
vector 1
vessels 1
virus 2
visitors 1
waiting 1
wake 1
war 1
way 2
weapon 1
well 1
when 1
which 3
who 1
will 2
with 6
world 1
wrest 1
years 1
younger 1
