27019821
/m/0glphpp
/m/0glphpp
Isobelle Carmody
1995-02
{"/m/06n90": "Science Fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy"}
across 1
alliance 1
and 2
at 1
before 1
beforetimers 1
begin 1
between 1
beyond 1
borders 1
but 1
can 1
community 1
council 1
dark 1
desert 1
destroy 1
destroyed 1
dream 1
elspeth 1
far 1
forces 1
heart 1
help 1
her 4
into 1
is 1
journey 1
land 1
learn 1
misfit 1
must 1
mysterious 1
obernewtyn 1
of 4
powerful 1
quest 1
rebel 1
region 1
ruling 1
sador 1
sea 1
seal 1
seat 1
secret 1
seeks 1
sent 1
she 2
sutrium 1
takes 1
the 13
their 1
there 1
to 3
totalitarian 1
truth 1
weaponmachines 1
why 1
world 1
yet 1
