21939411
/m/05p3z0c
/m/05p3z0c
Patrick White
1976
1830s 1
223 1
34black 1
34civilisation34 1
a 3
aboriginal 2
accompany 1
after 1
aground 1
alignleft 1
also 1
amongst 1
and 11
around 1
as 1
austin 1
austin3s 1
australian 2
back 1
background 1
backgroundtransparent 1
bay 1
between 2
blacks 1
borderstylenone 1
brisbane 1
bristol 1
brother 1
brutal 1
brutalities 1
but 1
by 2
cellpadding5 1
chance 3
coast 1
coastal 1
colonies 1
colonists 1
colspan3 1
contrast 1
convict 1
convicts 1
coral 1
cornish 2
crew 1
dangerous 1
diemen3s 1
diemens 1
distinctions 1
dust 1
early 1
ellen 2
ellen3s 1
embark 1
england 1
english 2
escaped 1
escorts 1
exile 1
experience 1
family 1
fell 1
fingering 1
floatright 1
fontsize85bordercollapsecollapse 1
fraser 1
free 1
fringe 2
from 2
further 1
garnet 2
gradually 1
has 2
her 7
highlighted 1
his 1
however 1
husband 1
in 4
intimations 1
into 2
is 5
island 2
it 1
itself 1
jack 1
land 2
later 1
lay 1
leaky 1
leaves 2
maid 1
married 1
meets 1
men 1
middleclass 1
moreton 1
mrs 1
much 1
nightmare 1
novel 1
now 2
of 8
off 1
older 1
on 4
only 2
outskirts 1
p 1
passengers 1
penal 1
people 2
queensland 1
reef 1
refuses 1
relief 1
rescued 1
reshape 1
return 1
returns 2
ring 1
roxburgh 2
roxburghs 1
runs 1
rural 1
sets 1
settlement 2
settlers 1
sharp 1
she 6
sheep34 1
ship 1
shore 1
south 2
stylewidth40 1
subsided 1
survivor 1
territory 1
the 31
their 1
threaded 1
threatened 1
through 1
to 10
tormented 1
transformed 1
travel 1
travels 1
trembling 1
trip 1
upon 1
valigntop 1
van 2
vessel 1
visit 1
what 1
which 2
whites 1
who 3
width20 1
with 4
witnessing 1
woman 1
women 1
young 1
