4000671
/m/0bbwrl
/m/0bbwrl
Meindert DeJong
1956
{"/m/0dwly": "Children's literature"}
a 8
abandoned 1
abates 1
after 1
airfield 3
american 4
an 4
and 10
area 1
as 3
asleep 1
at 2
attack 1
be 2
become 1
before 1
begins 1
big 1
boy 1
breaks 1
but 1
care 2
china 1
comes 1
continue 1
convoy 1
dangerous 1
day 1
difficult 1
down 2
ducklings 2
during 3
entire 1
exhaustion 1
exhibits 1
family 4
fathers 1
find 1
finds 3
flees 1
floating 1
flying 1
for 2
forest 1
from 2
glory 1
go 1
ground 1
had 1
has 1
he 8
heads 1
help 1
helps 1
hengyang 3
high 1
higher 1
himself 1
his 10
home 1
in 5
incredibly 1
injured 1
invaded 1
is 5
its 1
japan 1
japanese 3
journeys 1
last 1
later 1
live 1
loose 1
man 1
member 1
men 1
met 1
military 1
moorings 1
mother 1
mountains 1
must 1
named 1
nearby 1
night 1
occupied 1
of 6
on 2
once 2
one 1
only 2
over 2
pao 11
parents 3
pig 2
pilot 4
plane 1
raging 1
rainstorm 1
reach 1
releases 1
republic 1
return 1
reunited 1
river 3
rock 1
sampan 3
scenes 1
second 1
seek 1
sees 1
set 1
shot 1
show 1
similar 1
sinojapanese 1
sister 1
sitting 1
sixty 2
skirmish 1
spends 1
starve 1
stay 1
storm 1
story 1
strafe 1
strong 1
suffer 1
swept 1
taking 1
task 1
terrifying 1
territory 1
the 31
three 1
through 1
tien 11
tigers 1
to 13
town 1
travel 1
try 1
unit 2
upon 1
upriver 1
used 1
village 2
violence 1
war 1
watches 1
waters 1
well 1
where 2
while 2
who 1
whom 1
will 1
wishes 1
with 4
witnesses 1
work 1
worked 1
young 1
younger 1
