4140289
/m/0bl700
/m/0bl700
John Ford


a 11
abandoning 1
abandons 1
acts 1
advice 1
affair 1
after 3
against 2
agree 1
all 2
also 2
always 1
an 1
and 39
anger 1
annabella 12
any 1
apparent 1
approached 1
are 4
argue 1
arrogant 1
as 1
at 2
attack 1
attacks 1
attempts 1
avenge 1
avoid 1
baby 1
back 1
bandit 1
banditti 1
banished 1
be 7
becomes 1
been 1
before 2
befriend 1
beg 1
begins 1
being 1
believe 1
believed 1
belonging 1
bergetto 3
betrothed 1
birthday 1
blood 2
bologna 1
bonaventura 3
bring 1
brother 2
burnt 1
but 3
by 2
can 2
cardinal 4
ceremony 1
characters 1
cheating 1
choose 1
church 1
claims 1
comes 2
competition 1
confined 1
consumed 1
consummate 1
convent 1
convince 1
convinces 2
could 2
dagger 1
damning 1
dancers 1
dangerous 1
day 1
dead 2
death 1
decline 1
declining 1
delivers 1
desires 1
desperate 1
despite 2
developed 1
did 1
dies 2
dilemma 1
discovers 1
discussing 1
distraught 1
donado 3
downfall 1
drink 2
due 1
during 1
effects 1
encouraged 1
encourages 1
ends 1
enters 1
ethical 1
eventually 1
everyone 1
evil 1
exit 1
explains 1
eyes 1
fact 1
failed 1
falls 1
father 1
feast 3
feelings 1
feels 1
finally 2
finds 1
finish 1
flees 1
florio 3
following 1
for 6
forward 1
friar 4
from 3
furious 1
further 1
gain 1
get 1
giovanni 11
glasses 1
go 1
god 1
grimaldi 6
guilt 1
harmed 1
has 5
having 1
he 7
heart 1
help 1
her 21
herself 3
hiding 1
high 1
him 8
himself 1
hippolita 4
his 17
house 1
how 1
however 2
husband 2
identity 1
ignores 1
ill 1
immediately 2
in 14
incestuous 2
includes 1
including 1
instead 2
insults 1
interested 1
intervenes 1
invitation 1
involvement 1
is 9
it 3
job 1
journey 1
justice 2
kill 1
kills 1
kiss 1
knowing 1
knows 1
leaves 1
leaving 1
letter 2
letting 1
love 2
lover 2
loyal 1
main 1
manages 1
married 1
marry 3
marrying 1
masque 1
massacre 1
master 1
meanwhile 2
mistakenly 1
mouth 1
murder 1
name 1
newlyweds 1
niece 1
not 4
note 1
now 1
number 1
obviously 1
of 10
off 1
on 6
once 1
one 1
onto 1
opens 1
order 2
ordering 1
orders 2
overseen 1
own 1
pair 1
parma 2
passion 1
passionate 1
past 1
persuades 1
philotis 4
pity 1
place 1
plan 1
planning 1
plans 1
play 2
plots 1
poggio 1
poison 1
poisoned 2
pregnancy 2
pregnant 1
present 1
pretends 1
promises 1
property 1
prophecies 1
punishment 1
putana 5
raise 1
realises 1
reasoning 1
recently 1
refuses 1
relationship 3
remaining 1
remove 1
repent 1
repentance 1
requites 1
resigns 1
result 1
returned 1
revealed 1
reveals 4
revenge 4
richardetto 5
rid 1
rome 1
room 3
save 1
say 1
saying 1
secretly 1
seeing 1
seize 1
send 1
sends 2
servant 1
she 12
shock 1
should 1
siblings 1
sister 2
skewered 1
so 1
someone 1
soon 2
soranzo 16
soul 1
spouting 1
stab 2
stabs 2
stage 1
stake 1
status 1
study 1
subsequently 2
suitors 1
sword 1
talking 1
tells 3
terrible 1
that 9
the 32
their 4
them 2
then 3
they 2
this 1
through 1
tie 1
tis 1
to 42
toast 1
together 1
too 1
tries 1
true 1
truly 1
try 1
tutoress 1
two 2
unfortunately 1
university 1
unknown 1
until 1
up 1
vasques 7
verbally 1
visits 1
vows 1
wait 2
warning 1
was 2
wealth 1
when 2
where 1
which 3
who 2
whom 1
whore 1
wielding 1
wife 1
will 1
willing 1
willingly 1
win 1
wine 1
with 10
would 1
wounding 1
wreak 1
writes 1
