1506060
/m/056mfh
/m/056mfh
Edmond Rostand

1640 1
a 37
able 1
about 10
across 1
actor 1
actors 1
addition 1
admission 1
advantage 1
afraid 2
after 4
against 1
agrees 2
all 3
alone 2
aloud 1
also 3
although 1
always 1
ambush 1
among 1
an 4
and 59
angry 3
announces 1
anxious 1
any 1
anything 1
apprentice 1
are 7
arms 1
army 2
arras 1
arrive 1
arrives 11
as 12
aside 2
asks 3
assistance 1
at 7
attack 1
audience 1
author 1
away 1
back 2
bake 1
balcony 2
ballade 1
bandages 1
banished 1
battle 1
be 6
beautiful 1
because 2
been 6
before 3
befriend 1
begins 1
begs 1
behavior 1
behind 3
being 2
believes 2
beloved 1
bergerac 2
best 1
bows 1
brash 1
bravura 1
breath 1
breathtakinghe 1
bret 5
brightening 1
brought 2
building 1
burgundy 1
busybody 1
but 9
by 12
cadet 2
cadets 12
calls 1
camp 1
can 4
cannot 2
captain 1
capuchin 1
carried 1
chance 1
chases 1
chastises 2
christian 37
christians 4
claims 1
cleared 1
clorise 1
close 1
coach 1
coachs 1
collapses 1
colonel 1
combats 1
come 3
comes 2
company 1
compensates 1
compliant 1
composes 1
composing 1
concealed 1
conceding 1
confesses 2
confidently 1
confronted 1
confused 1
congratulate 1
convent 1
conversing 1
cooks 1
count 1
courage 1
cousin 2
cover 1
crosssection 1
crowd 3
crush 1
cut 1
cyrano 58
cyranos 4
dangerous 1
dark 1
darkness 1
day 3
de 20
death 1
declares 2
deep 1
defeating 1
delirious 1
deliver 1
denies 2
departs 2
describes 1
despise 1
despondent 1
details 1
dies 2
disbelieves 1
disclose 1
disperse 1
displays 1
disrupting 1
disrupts 1
distant 1
distraught 1
do 3
does 1
domineering 1
doubt 1
down 1
dream 1
drink 1
driver 1
drives 1
dropped 1
drunkard 1
dry 1
duelist 1
duels 1
duenna 5
during 1
each 1
ecstatic 1
eloquence 1
eloquent 1
emboldened 1
embracing 1
emerges 1
end 1
ends 2
enemy 1
ensues 1
entire 1
entourage 1
entrance 1
eternally 1
evacuated 1
even 3
eventually 2
every 1
expecting 1
expects 3
explodes 1
expressing 2
extremely 1
face 1
fails 1
faithful 1
fallen 2
farewell 3
fatally 1
fears 1
feel 1
fees 1
fifteen 1
fight 2
find 1
first 1
flabbergasted 1
flirt 1
flirtation 1
foes 1
followed 2
food 1
fool 2
for 22
forces 1
form 1
fracas 1
freedom 1
french 2
friends 1
from 11
front 3
gascon 2
gascoyne 1
gathering 1
gazette 1
gifted 1
give 1
gives 1
glory 1
go 2
goes 1
going 1
grimly 1
grown 1
grows 2
guards 1
guiche 14
guiches 1
half 2
hand 1
handsome 2
happiness 1
has 17
haughtily 1
have 4
having 3
he 46
head 1
heiress 1
her 16
hercule 1
here 1
hides 1
him 32
himself 2
hired 1
his 37
hold 2
holds 1
home 2
hopes 1
hospitality 1
house 3
how 1
however 3
htel 1
huge 2
hundred 1
i 1
identify 1
identity 1
if 6
image 1
imaginary 1
implies 1
important 1
impoverished 1
impromptu 1
improvise 1
in 22
inability 1
includes 1
including 2
indiscretion 1
informing 1
injured 1
injury 1
inside 1
instead 1
intellect 1
intellectual 2
intercepts 1
interjecting 1
into 1
is 24
it 7
joyful 1
keep 4
kiss 1
knowing 1
lack 1
large 1
lashes 1
last 1
later 1
le 5
leads 1
learned 1
leave 3
leaves 3
leaving 2
letter 5
letters 6
lignire 5
line 1
lines 4
lise 2
listening 1
local 1
log 1
loss 1
lost 2
love 10
loved 3
loves 2
made 1
make 3
makes 3
man 2
manager 1
many 2
march 1
married 1
marry 1
matters 1
may 1
meanwhile 2
meet 1
meeting 3
members 1
men 1
mentions 1
military 1
mob 1
monastery 1
montfleury 1
montfleurys 1
month 1
more 2
morning 1
mortally 1
mourning 1
much 1
musician 1
musicians 1
musketeer 3
must 1
name 1
nearby 1
nesle 2
neuvillette 1
new 1
newcomer 1
news 2
next 1
night 3
no 1
nobility 1
nobleman 1
nose 3
not 1
now 3
of 35
off 4
offers 1
officers 1
on 10
one 2
opens 1
order 1
others 1
out 2
outside 4
own 4
panache 1
paramour 1
paris 2
parisian 1
particular 1
persuades 1
pesky 1
pickpocket 2
pickpockets 1
plans 1
play 3
plenty 1
plot 2
poet 1
poets 1
port 1
porte 1
predicts 1
predominantly 1
preparations 1
prepare 1
preserve 1
press 1
presses 1
pretends 1
prevent 1
prevents 1
privately 2
process 1
procession 1
promise 6
promised 1
protect 1
provides 2
questioning 1
quickly 2
ragueneau 8
ragueneaus 3
rallies 1
read 1
reads 1
realizes 2
reason 1
receives 1
reckoning 1
recognizes 1
recounts 1
references 1
refrain 3
refuses 1
regiment 3
regular 1
rejoice 1
relief 2
remain 1
remarkable 1
remarks 1
remember 1
remembering 1
representing 1
resides 1
responds 2
rest 1
return 3
reveals 1
revenge 1
robbed 1
roxane 50
roxanes 2
roxanne 1
safe 2
safety 2
said 1
savinien 1
say 2
saying 3
says 3
scheme 1
secretly 1
seductively 1
seek 1
selfdoubt 1
sending 1
services 1
serving 1
several 1
she 24
shop 2
shortlived 1
shot 1
should 2
shoves 1
shown 1
