31857351
/m/0gty5zr
/m/0gty5zr

2010-04-28
{"/m/09s1f": "Business"}
a 5
absence 1
according 1
act 1
actively 1
adapt 1
advice 1
an 1
and 9
are 1
around 1
based 1
basis 1
book 2
broad 1
business 1
but 1
buyers 1
card 1
categorical 1
collaborate 1
companies 2
connect 1
contexts 1
create 1
credit 1
current 1
decade 1
definitions 1
describes 1
determining 1
developing 1
domestic 1
domestics 1
efficiently 1
elsewhere 1
emerging 5
enter 1
existing 1
exit 1
experience 1
fill 1
firms 1
for 4
foreign 1
framework 3
geography 1
help 1
how 2
if 1
immediately 1
in 7
independently 1
individual 1
institutional 2
intended 1
intermediaries 1
investors 1
is 1
key 1
khanna 2
krishna 2
learning 1
like 2
look 1
map 1
market 6
markets 6
model 1
multinationals 1
navigate 1
not 2
obstacles 1
of 4
offers 1
on 4
operate 1
opportunities 1
or 5
outline 1
over 1
palepu 2
particular 1
partners 1
practical 3
present 1
replicate 1
research 2
sellers 1
simple 1
specific 1
stay 1
strategies 2
strategists 1
structural 1
success 1
systems 1
tarun 2
that 1
the 8
their 1
them 2
these 2
to 8
toolkits 1
try 1
trying 1
understanding 2
unique 1
voids 3
whether 1
winning 1
with 3
work 1
working 1
