3676139
/m/09tw6d
/m/09tw6d
Nancy Holder
2005-05-31
a 14
abilities 1
about 1
across 1
africa 1
after 5
again 3
against 3
all 2
along 2
also 2
ambiguous 1
an 5
and 31
andrew 1
angel 3
angelic 2
antidote 1
antonia 1
any 1
approaches 1
are 7
arising 1
army 1
as 2
attacked 1
attracted 1
awakened 1
back 2
bad 1
barrier 1
battle 6
be 3
because 3
been 1
belief 1
believe 1
believes 1
believing 1
belle 2
best 1
betray 1
betrays 1
borgia 2
both 2
brazil 1
breaking 1
buffy 19
building 1
but 1
by 6
called 1
castle 1
casualties 1
champions 1
character 1
charismatic 1
claim 1
cleveland 3
closed 1
closure 1
coma 2
comes 1
confidential 1
confrontation 1
conversation 1
convinces 1
cooperate 1
council 1
create 1
cries 1
cruelly 1
crumbling 1
dark 1
darts 1
daughter 2
dawn 4
dead 1
deadly 1
death 1
decide 1
deciding 1
declares 1
defeat 2
demon 1
demons 2
deserted 1
destroy 1
determined 1
die 1
dimension 1
discovering 1
discovers 1
does 1
done 1
dont 1
drawing 1
drawn 1
during 1
earning 1
earth 1
easily 1
employ 1
enough 1
escape 1
essence 3
europe 1
everywhere 1
evil 2
evils 1
experience 1
face 1
factions 1
faith 5
far 1
features 1
fight 1
fighting 2
fill 1
find 2
finds 1
first 1
following 2
for 4
forced 1
forces 1
form 1
fresh 1
friend 1
friends 4
from 2
fully 1
funeral 1
future 1
gain 1
gap 1
gather 1
get 1
getting 1
giles 1
girls 1
gives 2
go 2
goes 3
going 1
golden 3
gone 1
good 2
group 1
haley 1
hands 1
hart 1
has 8
have 2
he 2
head 2
healing 3
hear 1
hell 3
hellgods 2
hellmouth 4
help 1
her 17
herself 1
him 1
his 1
hoped 1
hoping 2
horror 1
however 1
hundreds 1
immortal 4
in 9
incarnation 1
including 1
infamous 2
instead 1
into 5
is 13
it 1
its 1
joined 1
just 2
kennedy 2
key 1
kill 2
killed 1
kiss 1
knocks 1
la 1
leading 1
leads 1
left 1
legion 3
likely 1
link 1
live 1
london 1
looks 1
love 1
loved 1
lover 2
magical 1
many 1
meet 2
more 1
morning 1
murders 1
mystical 1
named 1
near 1
needs 1
new 3
newbie 1
nonending 1
not 2
novel 1
number 1
of 29
on 2
one 5
orchid 1
orders 1
origins 1
ornella 1
out 1
overcome 1
overturning 1
oz 2
patrol 1
poison 1
potential 1
power 3
powers 1
previous 1
projections 1
protect 1
pyre 1
queen 4
races 1
reality 1
realizes 1
relaxation 1
remeet 1
remnants 1
reorganize 1
result 1
resulted 1
resurrected 1
reveals 1
right 1
robin 2
rogue 2
rome 3
rona 1
safe 1
saved 1
saw 1
scoobies 1
see 2
seems 2
selfsacrifice 1
sent 3
seven 1
she 11
shortcomings 1
shortlived 1
sisters 1
slayer 10
slayers 14
socalled 1
some 1
somehow 1
soon 1
sorcerer 2
sorcerers 1
souls 1
sound 1
spell 1
spike 3
stabilize 1
strange 1
strength 1
summers 1
sunset 1
supernova 2
surrender 1
take 1
tara 1
team 2
tears 1
that 12
the 68
their 3
them 8
then 2
there 2
they 7
this 1
though 1
three 5
through 1
tibet 1
ties 1
to 37
together 1
too 1
train 1
trap 1
travel 2
trust 1
two 2
ultimate 1
unconscious 1
under 2
unknown 1
up 4
upcoming 1
upon 1
using 1
vampire 1
vampires 1
vi 1
viciously 1
victory 1
visited 1
vows 1
wake 1
wakes 1
want 2
wants 1
was 2
waste 1
watchers 1
werewolves 1
what 1
when 2
where 1
which 4
whistler 1
who 14
whole 1
will 2
willow 5
with 7
woken 1
wolfpack 1
wolfram 1
wood 1
world 2
would 1
wouldnt 1
xander 2
years 1
yet 1
young 1
