2998942
/m/08jp3h
/m/08jp3h
Dav Pilkey
1999
{"/m/0dwly": "Children's literature", "/m/09kqc": "Humour"}
1 1
1and2dimensional 1
2000 7
2dimensional 1
3 1
3dimensional 2
a 19
able 1
acronym 1
after 3
again 1
aka 1
all 5
allday 1
also 1
an 2
and 36
annual 1
anthrope 1
are 5
as 7
assigned 1
assume 1
at 3
attack 2
automatically 1
avoid 1
away 1
back 2
bans 1
battle 1
be 2
because 1
become 1
beef 1
before 1
bigger 1
blow 1
bodyactivated 1
book 1
both 1
boy 1
boys 4
brainiac 1
breaks 1
breathing 1
bursts 1
but 2
by 6
cafeteria 1
called 2
can 1
captain 8
carnival 2
caught 1
caused 1
causing 1
chalk 1
chalkboards 1
chance 1
chase 1
chipped 1
clotheslines 1
come 1
comes 2
comic 2
command 2
convention 4
copies 1
copy 2
creamed 1
damage 1
damge 1
day 3
decide 3
defeats 2
demonstrate 1
detention 6
device 1
die 1
disaster 1
disgusting 1
does 2
doesnt 1
doing 1
door 1
each 1
eager 1
earlier 1
eaten 2
elementary 1
enter 1
everyone 3
evil 1
fears 1
fiasco 1
final 1
fingers 2
first 1
fixing 1
flies 1
food 2
fool 1
for 7
forcing 1
fortunately 1
free 1
from 2
furniture 1
george 15
get 2
gives 1
giving 1
glue 1
going 1
gym 2
half 1
hall 1
happening 1
harold 14
he 5
her 2
him 2
his 3
hold 2
homemade 1
horowitz 1
however 1
if 1
in 17
incredible 2
infuriated 1
inside 1
into 6
invention 7
inventions 2
is 8
it 2
its 1
jerome 1
job 1
joined 1
just 1
killing 1
krupp 9
last 1
late 1
leader 1
leave 2
life 2
like 2
lines 2
linewriting 1
lives 1
living 1
long 1
lose 1
machine 4
make 2
making 1
meaner 1
melvin 9
minutes 1
miss 1
most 1
mouse 3
mouth 1
mouths 1
mr 8
ms 1
never 1
new 1
normal 1
not 1
noticing 1
now 1
objects 4
of 15
off 2
office 1
officially 1
on 3
once 2
one 2
opens 1
other 2
out 4
outside 1
pairs 1
patsy 1
pay 1
photo 1
photoatomic 1
photocopier 2
photocopy 1
pieces 1
places 1
plan 1
plunging 1
poles 1
pranks 1
previous 1
previously 1
principal 1
principals 3
promise 2
promptly 1
put 2
puts 2
quick 2
real 2
really 1
reflecting 1
repairs 1
report 1
rest 1
retaliation 1
return 2
ribble 1
roboplunger 3
robot 1
room 3
run 1
running 1
sabotage 3
save 1
say 1
school 11
seats 1
second 1
secretly 1
series 2
several 1
shoot 1
shot 1
since 1
sling 1
snaps 2
sneak 2
sneaking 1
sneedly 4
so 1
sold 1
stated 1
stay 1
still 1
stop 1
study 1
superglue 1
superpowered 1
surrounded 1
suspended 2
suspension 1
swallows 1
takes 1
talking 7
tattles 1
tattletale 1
teacher 1
teachers 4
telling 1
than 1
thanks 2
that 4
the 64
their 9
them 5
then 1
they 11
theyll 1
thinking 1
threat 1
time 1
to 30
toilet 7
toilets 9
transsomgobulating 1
trying 1
turbo 6
turn 1
turned 2
turns 2
underpants 8
underwear 2
unfortunately 1
unseen 1
unsuspecting 1
up 1
uranus 1
use 2
used 1
using 1
vicious 2
vomit 1
wants 1
was 2
water 1
what 1
whatever 1
where 1
which 3
while 1
who 3
whole 1
will 1
winners 1
with 7
withdraws 1
working 1
write 2
writing 1
year 2
yectofantriplutoniczanziptomiser 1
zillions 1
