1764291
/m/05v1tg
/m/05v1tg
Rosalind Miles
1999-02-02
a 5
against 1
all 1
allowing 1
allows 1
anarchy 1
and 8
arrival 1
arthur 7
avalon 1
avenge 1
banished 1
beauty 1
before 1
begins 1
betrayed 1
birth 1
blows 1
bold 1
both 1
brink 1
but 1
by 1
camelot 1
chaos 1
charmed 1
claim 1
comes 2
contented 1
convent 1
country 2
court 1
creates 1
cruel 1
crumble 1
daughters 2
deadliest 1
dear 1
death 1
destroy 1
dynasty 1
enchantments 1
even 1
evil 1
falls 1
faroff 1
father 1
flees 1
follows 1
for 1
glorious 1
guenevere 4
had 1
halfsisters 1
has 1
have 1
he 1
heir 1
her 8
his 5
holds 1
however 1
imprisoning 1
in 6
into 1
is 1
isles 1
king 2
kingdom 1
knight 1
lancelot 1
largest 1
leaves 1
life 1
longlost 1
love 3
loyalty 1
maire 1
marriage 2
marry 1
match 1
may 1
miraculous 1
morgan 2
morgause 2
most 1
mother 3
new 1
of 4
offer 1
offers 1
on 1
one 1
only 2
own 1
pendragon 1
powerful 1
princess 2
queen 4
raised 1
reason 1
reunited 1
right 1
ruin 1
rule 2
savage 1
selling 1
sensuous 1
services 1
smitten 1
spell 1
still 1
strike 1
sudden 1
suffering 1
summer 2
teetering 1
territories 1
that 2
the 16
their 3
threat 1
throne 1
to 12
tranquil 1
under 1
unite 1
unscrupulous 1
until 1
using 1
uther 1
violent 1
when 2
while 1
wife 1
will 1
with 3
young 2
