10983835
/m/02qx6r3
/m/02qx6r3
Steven Pressfield

{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
125 1
a 1
abandoned 1
absurdity 1
adversaries 1
afghan 1
after 1
alexander 1
alexanders 1
all 1
an 1
and 11
apart 1
are 1
army 2
armys 1
as 3
at 1
atrocities 1
baby 1
back 1
barbarian 1
battle 1
baz 2
be 1
been 1
blackened 1
brother 1
brothers 1
but 1
by 3
carrier 1
cavalry 1
children 1
close 1
code 1
compromise 1
convoy 1
could 1
days 1
death 1
deceived 1
decides 1
departs 1
elements 1
end 2
enemy 1
enrolls 1
example 1
fact 1
fails 1
family 1
fight 1
first 1
follow 1
follows 1
for 1
freedom 1
friend 1
friends 1
from 3
gets 1
grandeur 1
greek 3
guerilla 1
has 1
having 3
he 2
health 1
her 3
hero 1
his 8
home 1
honour 2
hope 1
hospitality 1
if 1
in 5
india 1
initially 1
instead 1
into 2
is 5
its 4
killed 1
kills 1
lebanon 1
left 1
lose 1
lost 1
lygaioslucas 1
macedonia 1
marching 2
matthias 4
meets 2
methods 1
nanguali 1
noteworthy 1
nothing 2
of 7
offers 1
older 1
only 1
own 2
part 1
people 2
planned 1
reach 1
rear 1
recruits 1
redeemed 1
returning 1
revealed 1
revenge 1
services 1
shinar 1
shinars 1
shocked 1
sister 1
son 1
special 1
stands 1
story 1
supplies 1
takes 1
that 1
the 13
their 2
this 1
three 1
to 6
together 1
tripoli 1
turn 1
two 1
up 1
war 1
warriors 1
way 1
well 1
while 1
white 1
who 2
wife 1
with 2
woman 1
women 1
womens 1
young 1
