20119002
/m/04ygkcd
/m/04ygkcd
Nancy Freedman

163 1
a 3
adoption 1
after 1
an 1
and 5
arrange 1
arranges 1
as 1
at 1
be 1
benign 1
bitterbaum 3
boys 1
brazil 1
brought 1
businessman 1
but 2
by 1
character 1
child 1
clone 1
cloning 2
considerable 1
country 1
dallas 1
decides 1
destiny 1
develop 1
dr 1
embryo 1
eventually 1
experiences 1
f 1
for 2
formative 1
francis 1
from 1
gerald 1
have 1
he 3
his 2
hospital 1
implantation 1
implied 1
in 4
infant 1
into 1
ira 1
is 3
its 1
john 1
joshua 1
k 1
kellogg 3
kennedy 1
late 1
later 1
leadership 1
learns 1
levin 1
more 1
mortally 1
mother 1
named 1
never 1
november 1
obviously 1
of 7
origins 1
perhaps 1
plot 1
president 3
published 1
pursue 1
recalling 1
recent 1
research 1
rise 1
saves 1
similar 3
so 1
some 1
soulsearching 1
states 1
strongly 1
surrogate 1
than 1
that 1
the 13
thor 1
those 1
three 1
time 1
tissue 1
to 7
united 1
wealthy 1
when 1
which 1
will 1
works 1
wounded 1
years 1
