13738637
/m/03cgq_m
/m/03cgq_m
Suzanne Weyn
2007-10-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
243yearold 1
a 4
accountant 1
and 2
applebaum 1
believe 1
boss 1
boy 1
but 1
buttonedup 1
by 1
charismatic 1
does 1
eccentric 1
enough 1
eric 1
finding 1
finds 1
friendship 1
from 1
henry 1
her 1
herself 2
imagined 1
in 2
inherits 1
learns 1
little 1
magic 1
magical 1
magorium 2
mahoney 1
molly 1
mr 2
named 3
never 1
of 1
pianist 1
places 1
possess 1
run 1
selfdoubt 1
she 4
shop 1
store 1
struggles 1
that 1
the 1
through 1
to 2
toy 1
weston 1
when 1
with 1
young 1
