1336067
/m/04tq7p
/m/04tq7p
John Masters

146147 1
156 1
a 8
actors 1
adjutant 1
again 1
all 1
also 1
ambivalent 1
an 4
and 7
andrejecting 1
angloindian 4
angloindians 1
anyone 1
are 1
arms 1
army 3
as 3
assimilated 1
atmosphere 1
attempt 1
attempting 1
avoid 1
away 1
battalion 1
because 1
become 2
becoming 2
before 1
begins 1
below 1
bhowani 1
bill 1
book 2
both 2
boyfriend 1
british 7
but 3
by 4
cannot 1
chance 1
change 1
children 1
claustrophobic 1
commander 1
community 1
conclusion 1
confronted 1
considers 1
contradiction 1
conventions 1
culture 1
dashing 2
daughter 1
days 1
decided 1
decides 1
defending 1
detection 1
dies 1
during 1
earlier 1
end 2
engaged 1
escape 2
essentially 1
european 1
expected 1
experience 1
family 1
feelings 1
film 3
for 1
friends 1
from 2
gained 1
gauche 1
get 1
gets 1
girl 1
give 1
granger 1
gurkha 1
had 1
have 2
having 1
he 2
hectic 1
help 1
her 12
heroically 1
herself 2
him 2
himself 1
his 5
hollywood 1
home 1
hopes 1
however 1
identity 2
in 16
independence 1
india 3
indian 2
inferior 1
into 1
is 9
it 2
its 1
joining 1
junction 1
kills 1
last 1
leading 1
lessestablished 1
like 2
literally 1
lose 1
losing 1
lover 1
man 1
marriage 1
marry 1
matter 1
might 1
mixedrace 1
movie 1
name 1
new 1
not 2
novel 2
of 12
officer 2
officers 1
on 2
onechooses 1
origins 1
out 2
outbut 1
over 1
part 1
patrick 5
persuaded 1
played 2
powerless 1
presented 1
presumably 1
prevent 1
problem 1
railwayman 1
railways 1
railwayworkers 1
ranjit 2
rape 1
rather 3
realise 1
realises 3
recognises 1
report 1
require 1
required 1
return 1
rodney 3
role 1
rule 2
runs 1
savage 3
second 1
see 1
set 1
she 7
shortly 1
sikh 1
sikhs 1
simplified 1
since 1
social 1
societysince 1
stars 1
stewart 1
stick 1
subordinate 1
such 1
surviving 1
than 2
that 5
the 27
then 1
they 1
though 1
to 19
towards 1
traditional 1
travers 1
unintentionally 1
unofficial 1
up 1
version 1
victoria 4
vigorously 1
visibly 1
want 1
war 2
was 3
way 1
which 1
who 3
whose 1
wider 1
win 1
with 2
working 1
world 1
would 1
