1202782
/m/04gyyp
/m/04gyyp
John Steinbeck
1961
{"/m/05hgj": "Novel"}
a 14
able 1
accept 1
achieve 1
acquaintance 1
acquaintances 1
across 1
act 1
actions 2
advice 1
after 3
agent 1
agreement 1
airport 1
alcoholism 1
alcove 1
alfio 1
also 1
american 1
an 3
ancestors 1
and 20
anonymous 1
any 2
are 1
around 1
as 1
assures 1
attain 1
auspices 1
authors 1
away 2
bank 4
be 2
became 1
because 2
become 2
behindthescenes 1
believes 1
best 1
better 1
blames 1
bottles 1
bribes 1
brief 1
build 1
businessmen 2
but 1
by 6
carrying 1
caught 1
cheats 1
childhood 1
circumstances 1
classic 1
comes 2
commit 2
conduct 1
confident 1
confirmed 1
considers 3
contest 1
control 1
conversation 1
corrupt 1
corrupted 1
criticisms 1
current 2
custody 1
danny 7
daughter 2
dead 1
dealings 1
death 1
decay 1
decides 1
decision 1
denies 1
deportation 1
deserving 1
discovering 1
discovers 1
does 1
done 1
door 1
drawn 1
drink 1
drunkard 1
drunks 1
during 1
economic 1
embrace 1
empty 1
ensues 1
especially 1
essay 1
ethan 15
even 1
eventually 1
everyone 1
experiencing 1
external 1
fact 1
fall 1
family 3
feeling 1
feelings 1
find 1
for 2
found 1
friend 2
from 4
gain 1
gave 1
get 2
gets 2
gives 2
go 1
government 1
grace 1
guilt 1
guilty 1
had 1
has 2
he 16
her 1
high 1
him 5
himself 1
his 15
honest 1
hopes 1
how 1
illegal 1
immigrant 2
immigration 1
in 10
indeed 1
influenced 1
instead 1
intent 1
into 4
intuitively 1
is 7
it 3
italian 1
joey 1
just 1
kill 1
kind 1
land 2
letting 1
liars 1
lies 1
light 1
local 1
long 1
made 1
maintains 1
manager 1
manages 1
margie 1
marullo 4
men 1
mentally 1
might 1
money 2
moral 1
more 2
murderer 1
nationwide 1
naturalization 1
needed 1
never 1
normally 1
not 2
of 16
on 2
only 1
orators 1
order 2
out 5
own 1
owner 1
ownership 1
people 1
perhaps 1
pills 1
places 1
plagiarizing 1
plans 1
pocket 2
politicians 1
position 2
possession 1
power 1
powerful 1
pressure 1
razorblades 1
reaches 1
receive 1
rehearses 1
respite 1
return 1
rob 1
robbery 1
rundown 1
ruthless 1
seeing 1
seems 1
sending 1
sequestered 1
service 1
sets 1
short 1
sleeping 1
slipped 1
slips 1
so 1
social 1
some 1
son 5
spoken 1
standards 1
station 1
stopping 1
store 4
strip 1
struggles 1
suicide 1
take 2
taken 1
taking 1
talisman 3
taylor 1
teller 1
than 1
that 10
the 29
thereafter 1
things 1
this 3
through 2
tide 1
time 1
tip 1
to 20
town 3
transfers 1
treatment 1
under 2
understanding 1
up 1
urges 2
very 1
war 1
was 1
way 2
wealth 1
what 1
when 3
where 1
which 2
while 1
whiskey 1
whose 1
will 4
with 4
without 1
won 1
