20416001
/m/04zvgsj
/m/04zvgsj
Clarice Lispector

a 4
about 1
against 1
all 1
and 7
art 1
as 1
avoid 1
away 1
be 2
boyfriend 1
brief 1
but 1
by 1
cannot 1
close 1
cocacola 1
cosmopolitan 1
cuts 1
despair 2
doesnt 1
edge 2
eking 1
employs 1
empty 1
fiction 1
for 1
free 1
from 1
haunting 1
he 1
her 5
heroine 1
how 1
identity 1
in 1
inwardly 1
is 3
life 2
like 3
lispector 1
living 2
love 1
loves 1
macaba 3
marilyn 1
misery 1
monroe 1
movies 1
mystery 1
narrated 1
narrator 1
notions 1
of 9
one 1
out 1
outward 1
pair 1
pathetic 1
poor 1
poverty 1
preconceived 1
rat 1
reader 1
readers 1
realization 1
recoils 1
rio 1
rodrigo 2
scissors 1
seem 1
she 5
should 1
sickly 1
slums 1
sm 1
story 1
strange 1
taking 1
tale 1
that 1
the 7
them 1
this 1
to 4
true 1
typist 1
ugly 1
underfed 1
understand 1
unfortunates 1
unhappy 1
unloved 1
urbane 1
working 1
would 1
wretchedness 1
yet 1
