13870383
/m/03cls93
/m/03cls93
Samuel Youd
1986
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 7
able 1
aboard 1
accustomed 1
admits 1
after 1
again 1
ages 1
aiding 1
airplanes 2
all 1
america 1
an 1
and 9
another 1
apparently 1
appearance 1
are 6
armoured 1
army 4
arrival 2
arrives 1
as 1
at 3
attempts 2
awaken 1
bad 1
barbarians 1
be 2
became 1
becomes 2
been 1
being 1
besotted 1
better 1
between 1
boys 3
brad 5
brought 1
build 1
but 1
by 3
callously 1
candidly 1
capital 2
capture 1
captured 1
catalyses 1
charge 1
china 1
chinese 4
civilizations 1
come 1
concept 1
consciousness 1
continued 1
court 3
crew 1
crossing 1
dead 1
decides 1
declares 1
deposed 1
detailed 1
development 1
disaster 1
discards 1
discovers 1
display 1
do 1
dowager 6
dragons 1
during 1
east 1
emperor 3
empire 1
encounter 1
encountered 1
end 1
engineers 1
escape 1
estranged 1
even 1
expecting 1
expedition 1
far 1
fate 1
find 1
fireball 1
flying 1
follows 1
for 1
forces 1
found 1
from 3
gates 1
general 5
give 1
given 1
go 2
has 3
have 5
having 1
he 3
held 1
help 1
herself 1
hibernation 1
him 1
his 1
home 2
however 1
human 1
imperial 1
implies 1
in 7
incommunicado 1
indicating 1
innovations 1
instead 1
intervention 1
into 2
intrigue 1
introduced 1
introduction 1
inventions 1
is 5
journey 1
junk 2
killed 2
kites 1
knowledge 2
lacks 1
land 1
latter 1
level 1
likely 1
losing 1
luck 1
manage 1
military 1
mobilises 1
modern 1
most 2
new 3
news 1
nomadic 1
nonetheless 1
north 3
northern 2
not 1
ocean 1
of 11
officials 1
on 2
once 1
one 1
ongoing 1
only 1
opposition 1
option 1
or 1
other 1
pacific 1
paddle 1
powerful 2
predark 1
produce 1
prototypes 1
publicly 1
put 1
realm 1
refuses 1
regent 6
remain 1
rescue 1
resisting 1
rid 1
sailors 1
sails 1
secretly 1
sent 1
series 1
serve 1
service 1
should 1
similar 1
simon 8
social 1
some 1
stagnated 1
steamer 1
succeed 1
taken 1
tanks 2
technological 2
technology 1
that 9
the 50
their 5
them 1
themselves 3
there 1
they 6
this 2
though 2
throne 1
to 20
trip 1
try 1
two 1
uneventful 1
unknown 1
unlike 1
up 1
use 1
usurper 1
were 1
when 2
where 2
which 2
while 1
whose 1
with 2
without 1
work 1
world 1
would 1
young 1
