33768893
/m/02ph2hb
/m/02ph2hb
Derek Robinson

a 5
about 1
air 1
and 4
appears 1
attachments 1
away 1
being 1
bloodbath 1
bombed 1
british 1
brutality 1
by 2
call 1
chivalrous 1
close 1
cold 1
combat 3
commanding 1
corps 1
could 1
cruel 1
cynic 1
dead 1
decimated 1
delusions 1
did 1
distracted 1
emotional 1
endless 1
erroneously 1
especially 1
even 1
field 1
final 1
focus 1
follows 1
frontline 1
gallant 1
germans 1
gets 2
girlfriend 1
goshawk 1
grind 1
had 1
hardened 1
hates 1
have 2
he 1
her 1
his 1
hospital 1
how 1
however 1
humorless 1
in 3
incredibly 1
into 1
is 5
keeps 1
killed 1
late 1
launch 1
leading 1
leads 1
life 1
love 1
margery 3
massive 1
much 1
next 1
no 1
nurse 1
of 4
offensive 1
officer 1
patrol 1
pilots 1
realizing 1
relentless 1
relieved 1
replacements 1
reported 1
shatters 1
she 2
slaughter 1
sour 1
squadron 4
stanley 1
station 1
stripped 1
taskmaster 1
that 1
the 12
their 1
they 1
this 2
thought 1
to 2
together 1
training 1
unemotional 1
unharmed 1
war 2
when 2
which 1
who 1
with 1
woolley 7
years 1
