31693864
/m/0gmfzgr
/m/0gmfzgr
James McCreet

a 3
albert 1
an 2
appointment 1
are 1
as 1
at 1
batchem 1
be 2
been 1
begins 1
behaviour 1
both 1
by 1
can 1
catch 1
citys 1
claims 1
competition 1
consequences 1
could 1
crime 1
demoted 1
detective 2
docks 1
eldritch 1
enemy 1
expected 1
face 1
first 1
following 1
for 1
force 1
from 1
george 1
good 1
has 1
have 1
he 2
highly 1
himself 1
his 4
if 1
in 1
inspector 1
instalment 1
insubordination 1
investigator 1
is 3
job 1
london 2
made 1
meanwhile 1
men 1
metropolitan 1
new 1
newsome 1
none 1
of 5
old 2
only 1
outrageous 1
pickpockets 1
police 1
polices 1
position 1
private 1
proves 1
retain 1
river 1
royal 1
second 1
see 1
series 1
society 1
solve 1
suspicious 1
temporarily 1
thames 1
that 1
the 9
theatres 1
theft 1
them 1
then 1
to 5
vice 1
when 1
where 1
who 2
will 1
williamson 1
with 2
working 1
