23602749
/m/06zjr38
/m/06zjr38
Mary Wesley
1985
a 6
abortion 1
accident 1
air 1
alone 1
an 2
and 9
are 1
arrange 1
as 1
attending 1
baby 1
begins 1
brought 1
by 2
clients 2
cook 1
country 1
crash 1
elderly 1
eliminate 1
falls 1
father 1
flee 1
for 3
forces 1
get 1
good 1
grandparents 4
hates 1
hatter 1
hebe 7
her 12
his 1
home 1
in 6
income 1
involved 1
is 6
ladies 1
later 1
learns 1
life 1
living 2
local 1
looking 1
lost 1
love 1
lucrative 1
make 1
marry 1
meantime 1
nuisance 1
of 3
older 1
on 1
one 2
overhears 1
parents 1
plans 1
posh 1
pregnant 1
private 1
road 1
school 2
she 4
siblings 1
silas 4
sleeping 1
small 1
social 1
son 1
sons 2
sonsinlaw 1
stalking 1
structured 1
supplements 1
surprise 1
that 1
the 6
their 2
threatening 1
to 5
town 1
twelve 1
unknown 1
up 1
vacation 1
wants 1
was 2
well 1
west 1
when 2
with 3
working 1
years 1
