12481597
/m/02w86j_
/m/02w86j_
Satyajit Ray

{"/m/028v3": "Detective fiction"}
a 7
about 2
accident 1
aided 1
an 1
and 2
angloindian 1
angti 1
another 1
anything 1
are 1
as 2
badshahi 1
based 1
beside 1
book 1
branch 1
brilliance 1
british 3
by 3
calcutta 2
capital 2
cemetery 1
charlotte 1
chauffeur 1
christian 1
clock 2
colorful 1
curious 1
daughter 1
detective 1
diary 1
dug 1
else 1
families 1
family 3
feluda 4
find 1
finds 3
foiled 1
for 2
former 1
ganguli 1
get 1
godwin 3
goes 2
grave 3
graves 1
haripodobabu 1
he 2
help 1
him 1
his 1
history 1
in 4
india 1
introduction 1
is 2
it 1
just 1
know 1
knows 1
lane 1
later 1
letter 1
lived 1
living 1
long 1
lucknow 1
makes 1
manfrom 1
meet 1
member 1
members 1
miscreants 1
more 2
mr 2
nawabs 1
new 1
of 14
old 1
on 2
part 2
party 1
plays 2
plot 1
precious 1
prominent 1
raj 1
rather 1
reasons 1
ripon 1
see 1
some 1
story 3
surprise 1
than 1
thanks 1
that 3
the 23
their 1
them 1
themselves 1
there 1
they 1
this 3
thomas 3
three 1
time 1
to 9
trying 1
unknown 1
up 1
very 1
vital 1
was 2
well 1
went 1
who 1
with 2
