143623
/m/0124_6
/m/0124_6
Ira Levin
1967-03-12
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 12
about 2
absurd 1
actor 1
actually 1
after 3
agrees 1
also 1
an 3
and 9
anyone 1
apartment 1
are 3
as 2
baby 1
becomes 2
begins 2
believe 1
blind 1
book 1
bramford 2
building 1
but 4
by 1
career 1
carry 1
cast 1
castevet 1
centers 1
certain 1
child 3
children 1
choose 1
city 1
conceive 1
confirms 1
convince 1
could 1
couple 1
coven 2
devil 1
discovers 1
disturbing 1
eccentric 1
elderly 1
else 1
end 1
established 1
even 2
event 1
ever 1
finds 1
first 1
following 1
for 2
frequent 1
friend 1
from 2
given 1
goes 1
gothic 1
guy 7
has 3
he 2
help 1
her 6
himself 1
history 1
hollywood 1
horrific 1
however 1
husband 2
ill 1
imagine 1
immediately 1
important 2
in 4
increasingly 1
into 1
investigates 1
involving 1
is 9
it 2
just 1
leaders 1
meddlesome 1
minnie 1
more 2
moved 1
murder 1
mysteriously 1
neighbors 1
new 1
no 1
not 1
noticed 1
of 1
old 1
on 2
one 1
or 1
other 1
overlook 1
own 1
pair 1
part 1
paying 1
plan 1
play 1
quickly 1
reason 1
receiving 1
revival 1
rival 1
roles 1
roman 1
rosemary 8
sacrifice 1
satan 1
satanic 1
she 4
side 1
some 1
soon 1
spawned 1
stage 1
struggling 1
style 1
suddenly 1
suspects 1
talk 1
than 1
that 4
the 10
theatrical 1
their 1
them 2
there 1
they 3
this 2
time 2
to 10
truth 1
unable 1
unexpectedly 1
until 1
use 2
vessel 1
visits 1
wait 1
wanted 1
wanting 1
wants 1
warned 1
warning 1
welcomed 1
who 2
witchcraft 1
with 2
woman 1
woodhouse 1
wrong 1
york 1
young 1
