24903999
/m/09gj56r
/m/09gj56r
Fletcher Pratt
1948
{"/m/01hmnh": "Fantasy"}
a 7
across 1
admirable 1
adventures 1
advice 1
airar 1
all 1
alliances 1
allies 2
alvarson 3
always 1
and 9
any 1
armies 1
as 4
assistance 1
at 3
battles 1
best 1
boot 1
bride 1
brings 1
building 1
but 3
by 2
can 1
capable 1
captured 1
carrhoene 1
comes 1
countering 1
course 1
cuts 1
dalarna 2
dalecarl 1
daughter 1
deceptive 1
declines 1
defeat 1
defeating 1
difficulties 1
dispossessed 1
djik 1
do 1
drink 3
during 1
effectual 1
emperor 1
empire 1
enchantments 1
end 1
enemies 2
enslaved 1
even 1
face 1
facile 1
failure 1
fealty 1
feels 1
find 1
finds 2
fishers 2
for 1
forcing 1
forging 1
free 2
freeing 1
from 2
fugitive 1
gain 1
gained 1
gentebbi 1
gives 1
goals 1
goes 1
government 1
gradually 1
great 2
guards 1
guide 1
hard 1
has 1
have 2
he 10
heathens 1
heavy 1
heel 1
him 3
his 10
holdings 1
homeless 1
honor 1
ill 1
in 4
interior 1
invaded 1
invaders 1
iron 1
is 6
islands 1
isles 1
issues 1
it 3
its 1
joins 1
justice 1
land 1
leader 1
least 2
legendary 1
lies 1
little 1
long 1
magic 1
magician 1
make 1
melibo 1
mentor 1
much 1
mystical 1
new 1
no 2
nominally 1
novel 1
of 17
offer 1
offset 1
on 2
one 2
ones 1
only 2
or 1
out 1
overthrowing 1
panacea 1
parties 1
path 1
pay 1
peace 3
poor 1
principles 1
problematic 1
protagonist 1
proves 1
qualities 1
quest 1
questioning 1
resistance 1
rest 1
right 1
ring 1
rises 1
road 1
sea 1
seems 2
series 1
short 1
should 1
small 1
so 1
solution 1
solutions 1
some 1
starcaptains 1
succeeded 1
such 1
symbolic 1
taxation 1
tend 1
that 3
the 32
their 1
there 1
those 2
thought 1
through 1
to 11
tool 1
under 1
underground 1
unicorn 1
urges 1
us 1
vulkings 2
waging 1
war 3
way 1
well 2
what 1
when 1
where 1
which 4
who 2
whose 1
wife 1
will 1
winning 1
with 2
without 1
won 1
word 1
yeomen 1
