23972245
/m/076w7qj
/m/076w7qj
Danielle Steel
2004-02
a 5
after 2
against 1
all 1
also 1
amount 1
and 3
are 2
arrives 1
as 2
at 2
back 1
barnes 1
behind 1
californian 1
carl 1
change 1
child 2
children 1
connected 1
convicted 1
cries 1
daughters 1
death 1
debt 1
detective 1
does 1
felicia 2
fight 1
for 2
forever 1
fortune 1
four 1
francisco 1
freed 1
from 1
get 1
happens 1
has 1
have 1
he 2
heights 1
held 2
her 3
his 2
home 1
husband 1
in 3
is 3
kidnapped 1
lee 1
left 2
lives 3
longer 1
loves 1
make 1
morgan 1
murderer 1
neighbourhood 1
no 1
not 1
of 2
pacific 1
peter 1
plans 1
police 2
prison 1
ransom 2
released 1
safely 1
same 1
san 1
she 2
something 1
soon 1
ted 1
that 2
the 6
their 3
time 2
to 4
up 1
waters 1
when 1
wife 1
will 1
with 1
years 1
