722636
/m/035qdt
/m/035qdt
David Brin
1980
a 20
able 1
aboard 1
about 1
actions 1
against 1
agrees 2
alien 1
all 2
although 1
alvarez 1
amount 1
an 4
and 24
another 1
anthropomorphic 3
apart 1
apparently 2
appear 1
appearing 1
appears 2
are 8
arrest 1
as 6
assistant 1
at 2
attempt 1
attend 1
attractive 1
avoids 1
back 1
based 1
baskin 1
be 2
because 1
been 3
before 1
begins 2
blocks 1
book 1
books 2
brief 1
bubbacub 4
but 5
by 1
campaign 1
can 1
capable 1
captain 1
cattle 1
center 1
character 1
characters 2
chromosphere 2
claims 1
client 1
combining 1
come 1
commander 1
communicate 1
concludes 1
confirm 1
considerable 1
contact 2
contacts 1
control 1
conversation 1
cook 1
course 1
credeiki 1
crew 1
culla 7
cullas 1
data 1
deception 1
demwa 9
desilva 2
destruction 1
determine 1
develops 1
die 1
dietary 1
disable 1
disabling 1
discover 1
discovered 2
discovers 2
discredit 1
disgrace 1
dispelled 1
do 1
dr 3
dwayne 1
dye 1
earlier 1
earth 1
elevator 1
embarrassed 1
embarrassment 1
equipment 1
escapes 1
eventually 2
evidence 1
expedition 1
exploration 1
exuberant 1
eyes 1
eyesight 1
fagin 3
fails 1
faking 1
fall 2
fields 1
figure 1
finding 1
fluid 1
for 2
former 1
forms 1
free 1
friend 1
from 7
frostbite 1
further 1
galactic 2
ghost 1
ghosts 5
gillian 1
give 1
go 1
goes 1
has 5
have 2
he 13
head 1
helene 3
him 2
his 8
hopes 1
hostile 1
hypothermia 1
if 1
implicate 1
in 10
incarcerated 1
indicate 1
initially 1
instrument 1
instruments 1
intelligent 1
intent 1
into 2
investigate 1
investigation 1
investigator 1
is 12
it 5
its 1
jacob 4
james 1
jeffrey 1
job 1
journalist 1
kanten 1
kepler 1
killed 2
lack 1
laroque 4
laroques 1
laser 5
lasers 1
learns 1
leaving 1
library 3
life 1
light 1
live 1
located 1
lost 1
love 1
magnetic 1
main 1
make 1
martine 1
meeting 1
mentioned 2
mentor 1
mercury 3
mildred 1
mission 2
move 1
murder 1
ne 1
needle 1
neochimpanzee 1
none 1
novel 1
observes 1
of 21
off 1
offended 1
offers 1
on 6
one 3
only 1
origin 1
orley 1
other 2
out 3
over 1
part 1
peter 1
photosphere 1
pil 1
pila 3
plummets 1
powder 1
precedent 1
pretend 1
prevent 1
previous 1
pring 1
process 1
project 2
propels 1
psi 1
psychiatrist 1
purpose 1
realizes 1
records 1
recovered 1
recovers 1
refrigerator 2
relationship 1
relatively 1
reluctant 1
reporter 1
representative 1
rest 1
resulting 1
results 1
retreats 1
return 1
reveals 1
rising 1
sabotage 1
sabotaged 1
same 2
saved 1
saying 1
scientific 1
scientist 1
secret 1
seems 2
sensors 1
set 2
shares 1
ship 5
ships 3
showing 1
side 2
sight 1
sign 1
similar 1
so 2
solo 1
space 2
species 1
startide 1
station 1
status 1
succeeded 1
sun 8
sundiver 2
sunghosts 8
sunship 2
supplements 1
taking 1
technology 1
temporarily 1
tendencies 1
test 1
tested 1
that 11
the 73
them 1
then 2
thennanin 1
there 2
they 4
third 1
this 2
though 1
threatening 1
three 1
thruster 1
time 2
to 29
tom 1
toroids 2
tragedy 1
travels 1
treaty 1
trick 1
trip 1
tunable 1
undertaken 1
universe 1
uplift 3
use 1
used 3
uses 2
vanilla 1
variety 1
violent 1
war 1
warns 1
was 1
when 3
where 3
which 1
while 3
who 3
whom 1
will 2
with 9
without 1
working 1
yet 1
