79578
/m/0kp1s
/m/0kp1s
James Joyce
1939-05-04
{"/m/05hgj": "Novel"}
1 2
111 1
124 1
14 1
17 1
28 1
4 1
52 1
8 1
a 70
abandoned 1
about 4
absent 1
abuse 1
account 1
accusation 1
accusations 1
across 3
adam 2
admonishment 1
affairs 1
affection 1
after 5
again 1
against 1
agreedupon 1
all 2
allegations 1
almost 1
alp 14
although 2
always 1
american 1
among 2
an 10
analysed 1
ancient 1
and 83
anna 1
annie 1
answer 2
answers 2
apparently 2
apparition 1
appear 1
appears 1
apprehensive 1
approach 1
arabic 1
are 9
arrives 1
artist 2
as 27
ask 1
asks 1
asleep 1
ass 1
assassination 1
assignments 1
at 12
attaching 1
attempt 1
attempting 1
attempts 1
attributes 1
author 2
avikkeen 1
awakes 1
baby 1
back 4
backwards 1
bad 1
balance 1
ballad 1
bar 2
barrel 2
bawling 1
bay 3
be 3
become 1
becomes 1
bed 1
bedroom 1
been 4
before 4
beginning 1
begins 2
behind 1
being 2
below 3
bend 2
berkely 1
besieged 1
better 1
biddy 1
bk 1
boastful 1
bold 1
book 23
books 2
borrowing 1
bottom 1
break 1
breaks 1
brigid 1
brings 2
broadcast 1
brother 2
brought 2
buckley 3
buried 1
but 5
butt 1
by 23
cad 3
call 1
called 5
calls 1
can 3
captain 2
careens 1
carrier 1
carrying 1
castle 3
casts 1
catch 1
celebrated 1
central 1
challenged 1
change 2
changeable 1
changing 1
chapter 21
chapters 5
character 4
characters 3
chattering 1
childers 1
children 8
chimpden 2
chosen 1
chronicles 1
ciphers 1
classbook 1
clear 1
clearing 1
close 3
closed 2
closer 1
closes 1
clothes 1
coaching 1
coffin 2
coitus 2
colour 1
come 1
comes 1
comfort 1
commentaries 1
commodius 2
complete 2
completely 1
composed 1
comprises 1
concerning 3
concerns 2
conclusion 1
condemnation 1
confession 1
consensus 1
considered 1
consists 4
constructing 1
contain 1
contains 1
content 1
continually 1
conversation 1
copulate 1
corpse 2
crimes 1
critical 2
critically 1
critics 1
crows 1
culmination 1
customers 4
cyclical 1
dark 1
daughter 2
dawn 3
dead 1
deals 1
dear 2
death 1
declaring 2
defence 1
defend 1
definitive 1
deliver 2
delivers 2
delivery 1
denying 1
depicts 1
described 1
describing 1
desire 2
destination 1
detail 3
details 1
diagram 2
dialogue 1
dictated 1
did 1
difficult 1
difficulties 1
digresses 2
disappear 1
disappearing 1
disappears 1
disgrace 1
divided 1
do 1
doesnt 1
dolph 3
domestication 1
done 1
down 1
draw 1
drawn 1
dream 1
dreamend 1
dreams 1
dregs 1
drink 1
dropping 1
drunken 3
dublin 5
due 1
during 1
each 1
earshot 1
earwicker 3
earwigs 1
eat 1
elusive 1
emerges 1
encounter 1
encounters 2
end 1
ending 1
ends 4
enemies 1
entire 1
entrusted 1
environs 3
essay 1
establishes 1
euclid 2
eve 2
events 2
eventually 2
everybody 1
everywhere 1
evidence 1
examined 1
example 1
exclusively 1
exile 1
eyesight 1
faathern 1
falls 2
famous 1
father 2
fawthrig 1
festy 1
fight 1
figure 1
final 3
finally 5
find 1
finnegan 4
finnegans 2
first 1
floating 2
flowerpot 1
fluid 1
focal 1
focus 2
follow 1
following 2
follows 1
footnotes 1
for 10
forces 1
forger 1
forgives 1
form 1
four 5
fragment 1
fragmentrecirculates 1
freed 1
from 13
future 1
gaelic 1
game 1
gate 1
gathering 1
gazework 1
general 5
genitalia 1
get 1
getting 1
girl 1
girls 4
given 3
glasses 1
globe 1
go 1
goes 3
gossip 2
greets 1
guard 1
guess 1
guessing 1
guilt 1
had 2
half 1
harold 1
has 5
have 3
haveth 1
having 3
hce 22
he 16
heap 1
hear 1
heard 2
helped 1
helps 1
hen 1
her 13
here 3
hermetic 1
herself 1
hiding 2
high 1
him 7
himself 2
his 28
history 1
hod 1
home 1
hooths 1
hopes 1
hosty 1
hours 1
how 3
however 3
howth 3
humphrey 1
husband 2
i 4
i1 1
i2 2
i4 1
i5 1
i6 1
i7 1
i8 1
identities 1
ii 2
ii1 1
ii2 1
ii3 1
ii4 1
iii 3
iii1 1
iii2 2
iii3 1
iii4 1
image 1
important 1
in 42
incestuous 1
including 1
increasingly 1
incriminates 1
indicate 1
indicates 1
inevitably 1
initials 1
inquisition 1
inside 2
intended 1
interrupts 1
intertwining 1
interwoven 1
into 13
introduces 1
introductory 1
inverted 1
involving 1
irish 1
is 30
iseult 1
isobel 1
isolde 1
issy 3
it 4
its 3
itself 1
iv 2
jaun 1
jaunty 1
jerry 2
john 1
journey 1
joyce 3
jute 1
kev 3
kevin 2
king 5
known 2
ladder 1
laid 1
language 1
last 4
latter 3
leads 1
learn 1
left 1
lengthy 1
letter 11
life 1
liffey 4
like 2
livia 1
lone 2
long 4
looking 1
loses 1
lough 1
loved 2
lovers 2
low 1
luke 1
lying 1
mailsack 1
main 2
man 3
manning 1
marginalia 1
mark 2
marriage 1
masters 1
mate 1
matthew 1
meal 1
means 1
medium 1
men 3
midden 1
middle 2
minor 1
misunderstands 1
momentum 1
monologue 2
more 3
morning 1
morphs 1
most 1
mostly 2
mother 3
mourners 2
moves 1
mr 1
mrs 2
mutt 1
name 2
named 1
namely 1
names 1
narrating 1
narrative 1
narratives 1
narrator 1
narrators 1
nature 1
neagh 1
never 4
newspaper 1
nickname 1
night 2
nightletter 1
nightmare 1
no 2
norwegian 2
not 3
now 1
number 1
numerals 1
observe 1
ocean 1
oconnor 1
of 61
off 2
offer 1
old 5
on 11
once 3
one 3
only 2
onto 1
opening 2
opens 3
opposite 1
or 3
order 1
oreilly 1
original 1
ostensibly 1
other 1
out 5
outlines 1
outside 1
over 2
overcome 1
overgrown 1
own 1
pantomime 1
parents 2
park 2
passage 2
passes 1
passing 1
past 2
patrick 1
pawdrag 1
penman 1
penned 1
personality 1
persse 1
persuading 1
phanthares 1
phoenix 2
pick 1
piece 1
pipe 1
placating 1
plot 3
plurabelle 1
point 1
policeman 1
poor 1
porter 3
portraying 1
portrays 2
posed 1
possible 1
post 2
postman 2
practice 1
prankquean 1
present 1
presents 1
previous 1
programme 1
progress 1
prominence 1
protected 1
provided 1
pub 5
publication 2
published 1
put 1
puts 1
question 1
questions 1
quickly 1
radio 1
reaches 1
realises 2
reappears 1
reawakens 1
receiving 1
recirculation 2
referred 1
regressing 1
rejected 1
relatively 1
remainder 1
remains 2
remembers 1
reoccurrence 1
repeating 1
reproduction 1
responding 1
response 2
rest 1
result 2
retelling 1
returning 1
returns 2
revealed 1
revenge 1
revered 1
reviled 1
riddles 1
rise 2
rises 1
rising 1
river 3
riverrun 2
role 2
rolls 1
roman 1
room 1
rooster 1
rory 1
rumor 2
rumours 2
russian 2
said 1
sail 1
sailing 1
sailor 1
saint 1
same 1
scary 1
school 1
schoolboys 1
schoolgirls 1
schoolmates 1
second 1
sections 1
see 3
seemingly 1
seen 2
send 1
sentence 4
sentencea 1
separately 1
series 1
sermon 1
serves 1
sets 1
setting 1
sexual 2
sham 1
shaun 19
she 3
shem 16
shifts 1
shoe 1
shooting 1
shore 2
short 2
shot 2
sides 2
significance 2
silent 1
singing 1
sister 1
sleeping 3
slept 1
slighted 1
so 3
society 1
soldier 1
son 4
song 1
speaks 1
spiritual 1
splashes 1
spread 3
spying 1
st 1
standard 1
start 1
starting 1
stick 1
stone 2
story 2
straight 1
strikes 1
structured 1
studying 2
succumbing 1
summarise 1
summary 1
summoned 1
supplanting 1
swallowing 1
swerve 2
symbolic 1
synopsis 2
taff 1
tailor 2
take 1
tale 2
television 1
that 8
the 151
their 7
them 1
themes 1
themselves 2
then 3
therefore 1
these 2
they 10
third 1
this 7
thought 1
thousands 1
thread 1
three 1
through 4
throughout 2
thunderlike 1
time 2
times 1
tired 1
title 2
titles 2
to 51
told 2
tollgate 1
took 1
transgression 1
tree 2
trespass 1
trial 2
triangles 1
tries 1
tristan 2
try 1
turn 1
turned 2
twelve 1
twins 1
two 5
ulysses 1
unable 1
under 1
unearthed 1
united 1
universal 1
unrelated 1
until 1
up 5
upstairs 3
us 2
vanishes 1
various 1
verbal 1
version 1
vessel 1
via 1
vicus 2
view 1
vignettes 2
visiting 1
voice 2
wake 4
walk 1
wall 1
was 4
wash 1
washerwomen 3
way 2
we 1
were 1
where 3
which 12
while 6
whiskey 2
who 9
widely 1
widening 1
wife 3
wins 1
with 15
without 2
word 1
words 3
work 1
working 1
writer 2
written 2
yet 1
you 2
young 2
youthful 1
