21035059
/m/05b0sd6
/m/05b0sd6
Tim Bowler
2006-09-07
a 6
about 4
also 1
an 4
and 11
angry 1
anonymous 1
another 2
anyone 1
anywhere 1
are 1
around 2
as 2
asks 1
assault 1
at 1
attempt 1
away 1
be 1
begins 1
believe 1
body 2
boy 11
brother 2
but 3
by 2
call 1
calls 1
cannot 1
character 1
chased 1
claims 1
clothes 1
coat 1
confronts 1
constantly 1
corner 1
could 1
dead 1
described 1
disappearance 1
does 1
dogs 1
down 1
drives 1
drove 1
duffel 1
dusty 9
dying 2
eventually 2
fact 1
false 1
few 1
find 3
first 1
found 1
frequent 1
from 4
genitals 1
gets 1
girl 2
gives 1
go 1
harbouring 1
has 2
have 2
having 1
he 17
her 7
him 3
himself 3
his 3
house 2
how 2
however 1
if 1
in 2
instead 1
intention 1
into 3
is 12
it 2
josh 3
keeping 1
kill 1
killing 1
know 1
knows 1
lake 3
leading 1
leaves 1
local 1
locals 1
main 1
men 1
miser 1
missing 2
mob 1
mobs 1
mysterious 1
name 2
no 1
not 4
observation 1
odd 1
of 3
off 1
old 1
or 1
over 1
overdose 1
pale 1
park 1
people 1
phone 4
possibly 1
previously 1
prisoner 1
proving 1
rang 1
raped 2
raping 1
receives 1
receiving 1
remember 1
replies 1
revealed 1
reveals 3
room 1
save 1
saying 1
searched 1
searches 1
searching 1
seeing 1
she 2
silas 1
skin 1
slipped 1
snowwhite 1
so 1
someone 1
something 1
soon 1
spread 1
start 3
stories 1
story 1
strange 1
suffering 1
suspect 1
taken 1
takes 1
talk 2
talks 1
that 9
the 24
they 2
this 2
three 1
thrown 1
to 12
town 3
traps 1
true 1
turmoil 1
two 1
unable 1
van 1
vandalise 1
was 1
wearing 1
went 1
when 4
which 1
while 1
who 3
with 3
would 1
years 1
