9083504
/m/027x12p
/m/027x12p
Christopher Isherwood
1962
{"/m/05hgj": "Novel"}
a 6
abandon 1
absurd 1
air 1
all 2
also 1
always 1
an 2
and 4
as 2
at 2
avoids 1
be 1
become 1
becomes 1
been 3
believe 1
big 1
binges 1
blast 1
but 2
by 2
character 1
completely 1
contains 1
couple 1
crew 1
debauchery 1
deeann 1
despite 2
devoting 1
disaster 1
discipline 1
down 1
dynamite 1
even 1
expecting 1
experience 2
explosion 1
extremes 1
far 2
fighting 1
figuratively 1
firecracker 1
followed 1
for 1
foundations 1
german 1
greeks 1
has 2
have 2
he 6
himself 1
his 5
how 2
hurt 2
idea 1
ii 1
illustrates 1
in 2
inane 1
indifferent 1
interrupts 1
is 5
isherwood 4
island 2
it 3
just 1
kinds 1
know 1
lancaster 1
leads 1
learning 1
least 1
led 1
leisure 1
life 2
little 2
live 1
makes 1
mansion 1
meditating 1
mistakes 1
mr 1
much 2
neglect 1
never 2
no 3
novel 2
observes 1
of 8
often 1
one 2
or 2
paul 1
personal 1
physical 1
pleasure 1
pop 1
pursues 1
reader 1
recounted 1
regularly 1
relentlessly 1
rock 1
rocks 1
scene 1
second 1
section 1
seem 1
seems 1
sends 1
shakes 1
should 1
smashed 1
so 3
somehow 2
spinning 1
stunning 1
such 1
that 3
the 7
their 2
then 1
there 1
these 1
they 2
things 1
through 1
throughout 1
times 2
to 7
too 2
use 1
visiting 1
waldemar 1
war 1
warning 1
we 1
wealthy 1
when 1
where 1
which 1
whole 1
will 1
with 2
works 1
world 1
yells 1
yet 1
youre 1
