2855787
/m/0873wt
/m/0873wt
Graham Taylor
2003
a 11
aboard 1
abram 5
activate 2
after 1
against 1
agrees 1
alias 1
all 2
amulets 1
an 5
and 20
angel 1
another 1
are 1
arrive 1
arrives 1
as 3
assist 1
assistance 1
at 3
away 1
azimuth 1
because 1
befriends 1
being 1
believe 2
believing 1
book 2
boy 1
but 1
by 3
called 2
can 3
capture 1
character 1
cherub 1
church 1
climax 1
closing 1
come 1
concerns 1
control 2
crane 4
dawn 1
day 1
dead 2
demonic 1
demurral 9
despite 1
destroy 1
devil 1
did 1
do 1
dominate 1
done 1
during 2
dying 1
elements 1
ethiopian 2
eventually 2
evicting 1
evil 2
find 1
finds 1
first 1
flee 1
for 4
forces 1
form 2
friend 1
from 3
full 1
gebra 1
glashan 1
gloats 1
god 6
goes 1
golden 1
harness 1
has 4
he 10
here 1
him 5
his 2
home 1
however 2
imprisoned 1
in 11
incantation 1
individual 1
into 2
is 13
it 4
its 2
jacob 3
join 1
kate 4
keruvim 13
kill 1
killed 1
known 1
land 1
leave 1
led 1
life 1
magenta 1
main 1
meddle 1
meet 1
mercenary 1
messenger 1
mother 1
mysterious 1
named 4
next 2
night 1
no 1
not 2
nothing 1
nubera 1
obadiah 1
obtains 1
of 8
on 2
order 1
other 2
overthrow 1
own 1
page 1
place 2
plans 1
play 1
plunged 1
power 5
powerful 1
prophesied 1
purchases 1
pursue 1
pursued 1
pyratheon 6
race 1
raphael 1
raphah 7
reasons 1
rebelling 1
recites 1
referred 2
regaining 1
restores 1
revealed 4
reveals 2
revenge 1
reverend 1
riathamus 1
rickards 1
rises 1
rule 1
seademons 1
searching 1
seeking 1
seloth 1
seraphim 1
seruvim 1
shadowmancer 1
ship 2
showdown 1
slave 1
smuggler 1
so 4
sorcerer 2
spirit 1
start 1
statuette 1
stealing 1
stealthily 1
story 3
succeeded 1
sun 1
surveys 1
take 1
takes 3
tells 1
temporarily 1
that 8
the 43
their 2
then 2
they 6
thinks 1
thomas 6
time 2
to 15
tomboy 1
true 1
try 1
turn 1
two 1
universe 1
unleashed 1
upon 1
urchin 1
use 1
uses 1
using 1
wants 1
were 1
when 1
which 4
while 1
whitby 1
who 5
with 3
word 1
world 2
wreckage 1
