6216269
/m/0fx886
/m/0fx886
Brandon Sanderson
2006-07-17
a 26
abilities 2
able 1
acts 1
administrator 1
age 1
aging 1
ago 1
aid 1
allomancer 1
an 2
and 16
apparition 1
appear 1
are 1
armed 1
army 1
as 3
assassinating 1
atium 2
attack 1
attacks 1
be 4
becomes 1
being 1
body 1
bodyshape 1
bracelets 1
brass 1
break 1
breeze 2
brother 1
brutal 1
burn 3
burning 1
burns 1
but 1
by 7
can 3
capable 1
capital 1
captured 1
cell 1
chains 1
changing 1
city 1
clubs 1
collapses 1
comes 1
compromised 1
consumes 1
copper 1
cousin 1
covertly 1
creature 1
crew 3
dead 1
defeats 1
dockson 2
doing 1
elend 1
eleventh 1
empire 2
established 1
evil 1
executed 1
exposed 1
faithful 1
falls 1
feruchemist 1
fierce 1
fight 2
final 2
foolish 1
for 2
free 2
from 3
front 1
gain 1
garrison 2
gets 1
getting 1
goes 1
great 1
group 1
ham 2
has 3
hathsin 1
he 2
heart 1
heir 1
helps 1
her 4
him 3
hired 1
his 4
house 3
houses 1
however 1
imperial 1
in 9
infiltrates 1
inquisitor 3
is 10
it 1
its 1
job 1
just 1
kandra 1
kar 1
keep 1
kelsier 6
kelsiers 2
kill 1
killed 1
kredik 1
learns 1
leaving 1
led 1
left 1
like 1
lord 10
love 1
luthadel 4
majority 1
makes 1
making 1
malatium 1
man 1
manage 1
manages 3
managing 1
marsh 2
meanwhile 1
members 1
metal 3
metals 2
mined 1
ministry 1
mistborn 1
misting 1
most 2
move 1
moves 1
no 1
nobility 1
noble 1
nobles 1
of 13
on 1
oppressed 1
originally 1
other 1
out 2
overthrow 1
palace 1
part 1
pewter 1
piece 1
pits 1
place 1
plan 2
population 1
possessions 1
powerful 2
process 2
rams 1
rapidly 1
recover 1
recruit 1
recruited 1
regime 1
remaining 2
renoux 4
rescue 1
rest 1
rises 1
ruler 4
rulers 2
rumored 1
rushes 1
save 1
sazed 1
scheme 1
scrawny 1
separate 1
servant 1
servants 1
seven 1
shaw 1
she 3
skaa 2
slaughtered 1
smoker 1
soldiers 2
some 2
son 1
soother 1
spear 1
special 2
spook 1
spy 1
start 2
stash 1
steal 1
steel 4
stomach 1
stored 1
street 1
strength 1
survivor 1
taking 1
terrisman 1
that 2
the 36
them 2
then 2
there 1
they 1
thieving 2
this 1
thought 1
thousand 2
through 1
thug 1
thus 1
tin 1
tineye 1
to 25
together 1
tortured 1
treasury 1
turns 1
urchin 1
valette 1
valuable 1
venture 3
vial 1
vin 9
war 1
weapons 1
what 1
when 1
where 1
which 1
who 7
whole 1
with 5
working 1
world 1
years 1
yeden 1
