62120
/m/0gt2b
/m/0gt2b
John Steinbeck
1937
{"/m/0l67h": "Novella"}
a 8
abilitiesare 1
accidentally 1
accusation 1
achieving 1
admitting 1
after 3
aged 1
aggressive 1
also 1
an 4
and 24
another 2
appearance 1
appears 1
are 6
as 1
asking 1
at 6
attacks 1
attain 1
attempted 1
attracted 1
away 2
back 1
barn 1
be 3
because 2
becomes 2
becoming 1
before 2
begins 1
behind 1
belittles 1
beloved 1
bitter 1
black 1
boss 1
breaks 1
bright 1
buck 1
but 4
buy 1
by 2
california 3
came 1
camped 1
can 3
candy 2
cannot 1
carlson 2
case 1
catches 1
characters 1
chats 1
clear 1
close 1
complex 1
comprehend 1
confronted 1
consolingly 1
constant 1
constantly 1
contrast 1
corpse 1
crooks 3
crushed 1
crushes 1
curley 8
curleythe 1
dangerous 1
day 1
death 2
deliver 1
depressiongeorge 1
designated 2
despite 1
discuss 1
dislikes 1
do 1
dog 1
down 1
dream 7
dreams 1
dress 1
during 1
ecstatic 1
educated 1
employment 1
end 2
enters 1
especially 3
even 1
extent 1
farm 4
favorite 1
feels 2
field 1
find 3
finding 1
finds 1
fist 1
fleeing 1
flirtatious 1
flirts 2
for 2
friends 1
friendship 1
frightened 1
from 3
future 1
garden 1
gentle 1
gently 1
george 11
giant 1
gives 1
go 1
goal 1
goes 1
got 1
grasp 1
great 2
group 1
had 1
hair 1
hand 1
hands 3
happy 1
harsh 1
has 1
have 1
he 8
head 1
her 4
him 3
his 4
hoe 1
hope 1
hoping 1
how 1
however 1
hurries 1
if 1
in 13
inferiority 1
instantly 1
intelligent 2
intends 1
into 3
intuitive 1
is 14
isolated 1
it 4
jerkline 1
joy 1
just 1
killed 1
kills 1
kind 1
knowing 1
land 1
large 1
larger 1
leads 1
leaps 1
leaves 1
lennie 24
let 2
limited 1
litter 1
live 1
lonely 1
look 1
love 2
loves 1
lynch 1
lynched 1
makes 1
man 2
meeting 1
meets 2
men 2
menacing 1
menleaving 1
mental 1
merely 1
migrant 1
milton 1
mob 1
month 1
mood 1
more 1
movie 1
neck 1
never 1
nevertheless 1
night 1
not 1
novel 1
obstacles 1
of 21
offers 2
on 10
one 3
onehanded 1
only 2
other 3
out 3
overcome 1
overshadowed 1
own 1
painful 1
painless 1
pair 2
panics 1
part 2
patch 1
permission 1
piece 1
pitch 1
place 2
plans 1
plantation 1
poses 1
possibility 1
potential 1
potentially 1
previous 1
problem 1
problems 1
protector 1
provocative 1
puppies 1
puppy 2
rabbits 1
race 1
ranch 8
rape 1
reached 1
reality 1
realizes 2
reason 1
recently 1
relaxed 1
reminding 1
resist 1
response 1
resulted 1
retells 2
return 1
revealing 1
run 1
same 1
save 1
scorning 1
scream 1
scuffle 1
seconds 1
seems 1
settling 1
share 1
shared 1
sharp 1
she 5
shooting 1
shoots 1
shown 1
side 1
since 1
sit 1
situation 1
skinner 1
slim 4
small 1
smallstatured 1
so 2
soft 3
soledad 1
son 1
soon 1
speak 1
spite 1
spiteful 1
spot 1
stable 2
star 1
start 1
stature 1
still 1
stories 1
story 2
strength 2
stroke 1
stroking 3
subdued 1
tend 1
that 11
the 53
their 11
them 4
theme 1
then 1
there 2
these 1
they 9
thing 1
things 2
this 1
threatening 1
throughout 1
to 22
together 2
touch 1
touched 1
towards 2
town 2
tries 1
trio 1
trouble 1
two 5
unable 1
uneducated 1
unhappily 1
unintentionally 1
urged 1
vulnerable 1
wanders 1
way 1
weed 1
well 1
were 1
when 7
where 1
which 1
while 3
who 3
whom 1
whose 1
wife 3
will 3
with 8
within 1
woman 1
workers 2
would 1
yet 1
young 1
