1420750
/m/0503h5
/m/0503h5
John Barnes
1996-04
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
adventure 1
alchemist 1
all 1
amatus 2
amount 1
and 8
arduous 1
are 1
arrive 1
as 2
auspicious 1
become 1
before 1
begins 1
being 1
boniface 1
by 2
captain 1
companions 1
day 1
deals 1
down 1
drinks 1
entire 1
executions 1
father 1
fill 1
filled 1
for 1
four 3
gentle 1
gods 2
growth 1
guardand 1
half 2
he 1
hired 1
his 2
in 2
interviewing 1
into 1
is 5
it 1
king 2
kingdom 1
kingship 1
known 1
land 1
later 1
laughter 1
left 1
long 1
love 1
magical 1
maid 1
man 1
manages 1
manhood 1
normally 1
noted 1
of 7
only 1
orders 1
people 1
pomp 1
positions 1
prince 2
process 1
ready 1
responsible 1
rest 1
reunions 1
royal 1
saying 1
significant 1
someone 1
strangers 2
swig 1
tale 1
that 1
the 20
then 1
there 1
thereafter 1
these 1
this 2
time 1
to 2
tragedy 1
travestythe 1
unexpected 1
vanishes 1
very 1
who 1
wine 2
witch 1
with 2
year 1
