1906837
/m/065934
/m/065934
Stephen King
1984-11-08
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 10
ability 1
accidentally 1
accompanied 1
actress 1
adopts 1
after 1
also 3
alternate 1
america 2
american 2
analogue 1
and 10
another 1
arcadia 1
are 3
arranging 1
as 9
b 1
back 2
beach 1
before 2
beloved 1
between 2
bid 1
births 1
body 2
bodyguards 1
business 2
but 2
by 5
call 1
called 1
can 2
cancer 1
change 1
childhood 1
comes 1
companion 1
crystal 1
death 1
deaths 1
deloessian 1
die 1
dog 1
dying 2
escapes 1
event 1
events 1
evil 1
extremely 1
faction 1
falls 1
familiar 1
fantasy 1
father 2
figure 1
finding 1
flip 2
form 1
forth 2
friend 1
friendly 1
from 4
goes 1
gunslinger 1
hampshire 1
hand 1
hands 1
have 3
he 1
heartland 1
help 1
herd 1
herdsmen 1
him 1
hinder 1
his 6
how 1
importance 1
in 10
individuals 2
inhabit 1
instances 1
intimated 1
into 2
is 9
it 2
jack 15
joined 1
journey 1
killers 1
kind 1
known 3
land 1
later 2
latter 1
laura 2
learn 1
life 1
lifethreatening 1
like 1
likeable 1
loyal 1
major 1
making 1
malevolent 1
may 1
migrate 1
mind 1
morgan 3
mother 3
movie 1
movies 1
much 1
murdered 1
must 1
mysterious 1
named 2
nature 1
new 1
not 2
occasion 1
of 10
old 1
on 2
one 2
only 1
or 5
orris 1
other 4
our 1
out 1
parallel 2
paralleled 1
parker 1
parkus 2
particular 1
partner 1
people 1
person 1
plans 1
pulled 1
queen 3
quest 1
rare 1
retrieve 1
richard 2
royal 1
savage 1
save 1
sawyer 2
schemer 1
seize 2
serve 1
serving 1
set 1
sets 1
share 1
shows 1
simply 2
simultaneously 1
singlenatured 1
situation 1
sixteenyearold 1
sloat 2
some 1
sometimes 1
speedy 1
states 1
stop 1
story 1
strange 1
stress 1
such 1
survivor 1
switch 1
takes 1
talisman 2
taught 1
territories 7
that 1
the 29
their 2
them 1
these 1
they 1
though 1
through 2
to 11
tradition 1
trying 1
twelve 1
twinner 3
twinners 3
two 1
under 1
united 1
universe 2
usually 1
various 1
voluntarily 1
wants 1
was 1
we 1
werewolves 1
which 2
who 4
with 1
wolf 6
wolfs 2
world 4
worlds 1
years 1
