1491312
/m/055jjf
/m/055jjf
Geraldine McCaughrean
1999
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 3
and 5
apocalyptic 1
as 1
at 4
awakes 1
away 1
children 1
climax 1
companions 1
contrasted 1
counsel 1
dangers 1
do 1
elude 1
en 1
encountering 1
end 1
evergood 1
farthest 1
father 1
figures 1
fool 1
from 1
go 1
he 5
her 1
him 1
his 6
home 1
horse 2
hypocrisy 1
in 1
inheritor 1
is 3
it 1
kills 1
learns 1
losing 1
maiden 1
making 2
monstrous 1
morning 1
must 1
name 1
of 4
on 1
one 1
order 1
outright 1
overcoming 1
own 1
phelim 2
place 1
prudence 1
rally 1
reach 1
reluctance 1
responsibility 1
resting 1
returns 1
ride 1
route 1
sea 1
seeks 1
significance 1
sister 2
soon 1
stoor 3
stop 1
strips 1
strong 1
succeeds 1
symbolic 2
that 1
the 9
thereafter 1
this 3
three 1
to 3
translated 1
various 1
waking 1
which 1
while 1
with 1
worm 4
