4896961
/m/0ct2hd
/m/0ct2hd
Michael Reaves

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20 1
a 2
after 1
almost 1
and 2
apprentice 1
author 1
be 2
bestselling 1
book 1
books 2
by 2
characters 2
cliff 1
clone 2
coming 1
cover 1
covers 1
dark 1
darth 1
deal 1
details 1
duology 2
episode 1
evil 1
followups 1
from 2
have 1
having 1
iii 1
illustrated 1
illustrators 1
in 1
is 6
it 5
jedi 2
labyrinth 1
last 1
leading 1
like 1
lord 1
many 1
market 1
mass 1
medstar 2
michael 1
more 1
new 1
nielson 1
not 1
novels 1
of 8
on 1
one 1
or 1
order 1
other 1
out 1
paperback 1
perry 1
preceded 1
prequel 1
reappearing 1
reaves 1
revenge 1
rise 1
series 3
several 1
since 1
sith 1
star 4
steve 1
supposedly 1
than 1
that 2
the 13
there 1
three 2
timeline 1
titles 1
to 2
told 1
two 1
vader 1
very 1
wars 6
will 2
with 2
within 1
years 1
