950220
/m/03spdr
/m/03spdr
Robert Jordan
2005-10-11
100000 1
34brotherless34 1
34let 1
34pupil34 1
3romance3 1
3tuon3 1
a 27
ability 1
able 1
about 3
according 2
act 1
aelfinn 1
aes 8
afflicted 1
after 6
aftermath 1
against 5
agreeing 1
agreement 1
agrees 3
ahead 1
aiel 4
ajah 5
alike 1
all 3
allegedly 1
alliance 2
allows 1
almost 2
alongside 1
also 3
altara 2
althor 1
although 1
alvere3s 1
amasses 1
amyrlin 1
an 8
and 44
andor 3
any 1
appearance 1
arad 1
aram 1
are 4
army 3
around 1
arranges 1
arrives 1
aryth 1
as 7
ashaman 3
asking 2
asks 1
assume 1
at 8
attack 2
attacks 1
attempt 2
attempting 2
attempts 1
axes 1
aybara3s 1
back 1
band 3
bannergeneral 2
battle 5
battles 1
be 1
become 1
becomes 1
been 2
begins 1
being 2
believe 1
betrayed 1
between 1
bewilderment 1
bitterness 1
black 6
blight 1
blue 1
bond 1
bonded 3
book 3
book3s 1
border 1
borderlands 1
both 5
briefly 1
broken 1
brother 1
brought 1
but 4
by 17
cadre 1
caemlyn 1
campaign 2
cannot 1
captain 2
captivity 3
capture 1
captured 4
capturing 1
casban 2
certain 1
channeling 1
chaos 1
characters 1
chooses 1
civil 1
close 2
closure 1
coast 1
comadrin 1
comedic 1
comes 1
coming 1
command 1
commander 2
communicate 1
companion 1
completes 1
concentration 1
condition 2
confidently 1
confrontation 1
confronts 1
considerably 1
constituents 1
contact 1
contenders 1
contents 1
control 2
controlled 1
convenience 1
convinced 1
cooperation 1
cost 1
counter 1
countrymen 1
course 3
covers 1
crew 1
cryptically 1
custody 1
damodred 2
dar 2
dark 3
darkfriend 1
darkly 1
daughter 2
dead 2
deals 2
death 2
deaths 1
decides 2
decision 1
defeat 2
defeated 1
defeats 1
defiance 1
delivers 1
despite 1
destination 1
destroy 1
die 1
dies 1
different 1
dignity 1
disastrously 1
disciplining 1
discovering 1
disgraced 1
disguise 1
disorder 1
dispense 1
disperses 1
do 1
does 1
doman 1
doubt 1
drawing 2
dream 1
dreams 1
duel 1
duels 1
during 3
each 1
eamon 2
ebou 2
edge 1
eelfinn 1
egwene 3
elaida 1
elaida3s 2
elayne 3
elder 2
empire 1
empress 3
end 3
ends 3
enemy 1
enormous 1
ensuing 1
epigram 1
equivalent 1
escape 2
escapes 1
events 2
evidence 1
except 1
exposed 1
expressing 1
eyes 1
fabric 1
fact 1
faile 6
failed 1
fairness 1
fal 1
family 1
fatal 1
father 1
father3s 1
feelings 1
fight 3
fighting 1
finally 4
find 1
finds 1
fireworksturnedartillery 1
firmly 1
first 3
fog 1
foil 1
following 1
for 6
forbids 1
force 1
forces 3
foreknowledge 1
forges 1
forkroot 1
forsaken 3
friends 1
from 10
further 1
furyk 1
gai3don 1
gaidon 2
gains 1
galad 4
galina 3
gawyn 1
general 1
get 1
gets 1
giving 1
go 2
going 2
golden 1
good 1
graendal3s 1
great 2
grisly 1
group 2
grown 1
guerrilla 1
had 1
half 1
halfbrother 1
haman 2
hand 6
harbor 1
harbors 1
harsh 1
has 5
having 1
he 12
help 1
helped 1
her 10
herbs 1
heronmark 1
high 2
him 9
himself 1
his 19
holds 1
horde 1
hundreds 1
immediate 1
impedes 1
imperial 1
implicitly 1
in 32
inadvertently 1
indicate 1
informed 1
initiates 1
instruction 1
internal 1
into 1
is 18
it 5
itself 1
ituralde3s 1
join 1
karede 1
khirgan 1
kidnapped 1
kill 2
killed 1
killing 1
kills 1
king 1
knife 1
knowledge 1
lace 1
lacking 1
lady 2
lan 2
lan3s 1
land 1
large 2
largescale 1
last 4
lasting 1
leader 2
learn 1
learns 1
led 1
left 3
leg 1
let 1
letter 1
lews 3
loial 3
longtime 1
loose 1
lord 3
losing 1
lost 1
love 1
loyal 1
madman3s 1
madoc 1
maintain 1
maintains 1
make 1
makes 1
making 2
malden 1
malkieri 1
manages 4
marriage 2
married 2
masema 1
mat 8
mat3s 3
mazrim 1
mdash 1
meantime 1
meet 1
meeting 3
meets 2
mental 1
merrilin 1
messianic 1
miles 1
moiraine 1
moment 1
moons 2
moran 1
morgase 1
moridin 1
mother 1
mother3s 1
mount 2
much 1
multiple 1
murandy 1
must 2
mutual 1
myrdraal 1
near 1
needs 1
negotiate 1
new 1
newfound 1
nine 2
not 3
novel 3
novice 1
number 5
nynaeve 1
obtaining 1
ocean 1
of 78
off 1
offensive 1
offer 1
ogier 1
on 9
one 4
ones 1
ones3 1
only 2
opening 1
or 3
ordered 1
other 4
out 1
overcome 1
overcomes 1
own 1
part 2
party 1
past 1
peace 1
people 1
peppered 1
perish 1
perrin 6
perrin3s 2
personal 1
phrase 1
pitting 1
placing 1
plan 1
pledge 2
plots 1
portion 1
posing 1
possibly 1
power 2
preliminary 1
preparations 1
prepare 1
present 1
presumably 1
prince 1
process 2
prologue 1
proper 1
proposition 1
proves 1
provided 1
psychological 1
queen 2
raids 1
rand 8
rand3s 6
rank 1
ravens 1
reach 1
reaches 1
realizing 1
rebel 1
rebels 2
received 1
red 3
reduced 1
regardless 1
reinforcements 1
reluctant 1
remnants 1
rescue 3
rescues 2
response 1
returns 2
reveal 1
revealed 2
revelation 1
ride 3
ripples 1
rivers 1
rodel 1
