8490323
/m/0275bbz
/m/0275bbz
Sax Rohmer
1913
a 9
active 1
an 1
and 9
apparently 1
appears 2
approach 1
arab 1
are 2
as 2
assassination 1
associated 1
at 1
aziz 1
back 1
baked 1
be 2
beautiful 1
been 1
best 1
book 1
brother 1
bulldog 1
burma 3
but 1
by 6
capture 1
centuries 1
chemist 1
china 3
chinese 1
class 1
clear 1
come 1
comes 1
commissioner 1
country 1
criminal 1
cunning 1
cut 1
dacoits 1
denis 1
dens 1
destroys 1
directly 1
distinct 1
dr 4
driven 1
drummond 1
dynasty 1
earlier 1
earth 1
east 1
end 2
engineers 1
england 1
entered 1
escaped 1
escapes 1
estates 1
europe 1
evil 1
exactly 1
fire 1
first 1
for 2
formerly 1
freed 1
friend 1
from 5
fu 8
generation 1
genius 1
good 1
greatest 1
had 1
has 1
have 3
he 3
her 1
his 2
holmes 1
house 1
immediately 1
in 4
india 2
injection 1
inspector 1
irrawaddy 1
is 7
karamaneh 1
larger 1
late 1
later 1
leading 1
lean 1
learn 2
limehouse 1
logical 1
london 1
love 1
mad 1
man 1
manchu 8
manchus 1
mandarin 1
master 1
meet 1
member 2
men 1
mission 1
more 1
moulmein 1
narrow 1
nayland 2
new 1
night 1
not 2
now 1
of 15
old 1
on 1
opium 1
or 1
out 1
outwitted 1
party 1
peril 1
petrie 2
places 1
poisoner 1
polish 1
powers 1
previously 1
prome 1
purpose 1
pursued 1
put 1
rangoon 1
rather 1
reflects 1
reformers 1
restored 1
sanity 1
scotland 1
seems 1
serum 1
several 1
sherlock 1
sir 1
slave 1
smith 2
some 1
square 1
stage 1
such 1
sun 1
superior 1
surprised 1
take 1
tall 1
target 1
than 1
that 2
the 19
then 1
third 1
this 1
though 1
thuggees 1
thus 1
times 1
to 9
trying 1
turns 1
unbalanced 1
upper 1
various 2
visitor 1
we 3
western 1
weymouth 1
which 2
who 6
with 4
woman 1
yard 1
yellow 1
young 1
youthful 1
