14501750
/m/03d5hr_
/m/03d5hr_
Joseph Delaney


14th 1
a 28
abandoned 1
ability 1
able 1
about 1
accepts 1
according 1
actually 1
after 10
afterwards 1
again 3
ahead 1
alice 13
alive 1
all 1
allow 1
allowing 1
almost 1
alone 1
along 2
also 1
an 1
and 33
annoyed 1
another 2
anyone 1
apprentices 1
are 5
arkwright 1
army 1
around 1
as 1
asked 1
asks 2
assassin 1
at 3
attacked 1
away 3
back 5
bait 1
balance 1
banishes 1
battle 1
be 1
beats 1
because 1
becomes 2
been 3
before 4
being 1
bill 21
birthday 1
births 1
biting 1
blood 3
bloodeye 1
bloodjar 1
bony 1
boot 1
boundary 1
boys 1
broke 1
broken 1
brought 1
bury 1
business 1
but 5
by 4
called 2
can 2
captive 1
captured 1
caster 2
chase 1
chasing 1
check 1
child 1
children 1
chipenden 1
claw 5
close 1
collected 1
come 1
comes 1
conclude 1
contact 1
contacted 1
containing 1
currently 1
danger 1
dark 1
daughter 1
day 1
dead 1
deal 1
death 2
decides 2
delivering 1
departs 1
desperate 1
do 1
dog 1
dogs 3
dragging 1
dread 1
drowns 1
drunk 2
ear 1
eating 1
elude 1
enough 1
ensure 1
escape 1
eventually 1
everyone 1
father 1
fear 1
ferry 1
ferryman 4
few 2
fiend 8
fiends 2
fight 3
fighting 1
find 5
finds 3
finger 1
finishes 1
first 2
floating 1
for 13
force 2
form 1
free 1
from 2
front 1
further 1
gave 1
get 3
getting 1
ghosts 2
gift 1
gives 2
goes 3
got 1
greatest 1
gregory 1
grimalkin 4
groceries 1
grocery 1
group 1
had 2
harm 1
has 5
have 1
having 1
he 19
heading 1
held 1
help 1
helpto 1
her 11
hermit 1
him 22
himself 2
his 7
holding 1
home 2
hooks 1
hours 1
house 10
how 2
hunt 1
hunting 1
if 1
ignoring 1
ill 1
immediately 1
improving 1
in 12
informs 1
inn 1
insists 1
instead 2
into 3
is 26
it 9
jar 1
john 1
just 1
keeping 1
kill 1
king 1
kisses 1
knowing 1
lakes 1
late 1
later 3
learn 1
learning 2
learns 1
leave 6
leaves 2
leaving 1
left 1
lets 1
letter 3
lips 1
live 1
lives 1
lizzie 1
lodge 1
look 1
magic 1
malevolent 1
man 1
manages 1
marsh 1
marshes 2
mate 1
meets 1
men 3
middle 1
midsummer 1
midsummers 1
mirror 1
monastery 2
months 1
morewenna 1
morning 1
morwena 1
morwenna 2
mother 3
must 2
never 1
next 1
night 3
not 4
note 1
of 19
off 2
offers 1
on 8
once 2
one 4
only 4
order 1
out 2
own 1
paralyze 1
parents 1
path 1
pendle 2
persuasion 1
pit 1
powers 1
presence 1
pressgang 1
previous 1
protect 3
protection 1
protests 1
put 1
rather 1
reach 2
reaches 1
real 1
realize 1
realizes 3
refuses 1
relents 1
replies 1
rescue 1
return 3
returns 1
revealed 1
reveals 1
river 1
rules 1
running 2
said 1
salt 1
same 1
saves 1
saying 2
scared 1
scaring 1
search 2
seconds 1
secret 1
see 1
sees 1
send 2
sends 2
senses 1
sent 3
she 9
shopping 1
six 1
sleep 1
so 2
some 1
son 1
soon 3
speaking 1
spook 13
spooks 1
staff 3
stalking 1
still 1
straight 1
study 1
suddenly 1
sure 1
survive 1
suspicions 1
swim 1
swimming 1
takes 1
tavern 1
teach 1
teaching 2
tell 2
tells 2
that 27
the 94
their 1
them 2
then 2
they 10
third 1
this 2
threat 1
through 2
tied 1
time 1
to 52
together 1
tom 38
too 1
tooth 2
top 1
towards 1
tradition 1
training 2
trap 1
treatment 1
turn 1
turning 1
two 3
type 1
under 1
unlikely 2
up 2
use 1
used 1
uses 1
using 3
vicious 1
village 2
violently 1
visit 1
waiting 1
wanting 1
war 1
was 1
water 3
way 4
were 1
when 2
where 2
which 1
while 7
who 6
whoever 1
why 1
will 4
wins 1
witch 10
witches 2
with 10
wolfhounds 1
woman 1
won 1
would 2
years 1
