23472040
/m/05b2fnj
/m/05b2fnj
Meg Cabot
2009-01-06
a 2
afraid 1
also 1
and 1
anything 1
be 1
beautiful 1
beauty 1
before 1
body 1
but 3
by 1
crais 1
depth 1
earl 1
especially 1
except 1
falling 1
feisty 1
finnula 3
fitzstephen 1
freedom 1
happy 1
has 2
heart 1
her 2
his 2
home 1
hugo 2
idea 1
in 1
is 2
isnt 1
kidnapped 1
kidnaps 1
knight 1
long 1
love 1
maiden 1
maybe 1
new 1
no 1
not 1
of 4
on 1
only 1
out 1
possession 1
quite 1
realize 1
she 3
since 1
soul 1
spirited 1
stephensgate 1
such 1
that 1
the 2
to 1
trapped 1
wants 1
way 1
well 1
when 1
