13712673
/m/03cfyd3
/m/03cfyd3
Harry Turtledove
2007-05
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
10s 1
168 1
180s 1
a 5
afterward 1
allow 1
america 1
amidst 1
an 3
and 13
annarita 1
are 1
as 4
asia 1
at 1
authorities 1
bankrupt 1
been 2
being 1
books 1
brutalist 1
by 1
capitalism 2
capitalist 2
captured 1
clerks 1
closed 1
communism 2
communist 1
company 1
complete 1
concept 1
consigned 1
countries 1
crisis 1
crosstime 2
cuba 1
cuban 1
dead 1
decision 1
discover 2
discovered 1
disseminating 1
divergence 1
due 1
during 1
dustbin 1
economic 1
eduardo 1
embargo 1
europe 1
follows 2
for 2
formula 1
from 2
front 1
game 1
games 1
gianfranco 1
giving 1
gladiator 3
grey 1
guides 1
hand 1
has 4
help 1
history 1
hundred 1
ideas 1
image 1
imperiled 1
in 10
indeed 1
interests 1
is 5
it 1
italian 1
its 1
later 1
latin 1
liberty 1
local 1
lost 1
many 1
military 1
missile 1
missiles 1
monopoly 1
most 2
much 2
notions 1
novel 1
novels 1
of 13
one 1
operative 1
other 3
our 1
ours 1
over 2
own 1
parallel 2
parallels 1
people 1
plot 1
point 1
position 1
power 1
protagonists 4
remade 1
remain 1
republic 1
respects 1
same 3
satellite 1
sell 1
series 1
shop 3
similar 1
southeast 1
soviet 5
sphere 1
spread 1
spreading 1
states 3
strategy 1
strength 1
super 1
taken 1
technology 1
teenagers 1
tenements 1
that 3
the 45
they 2
throughout 1
thus 1
time 1
to 9
trade 1
trading 1
traffic 2
turns 1
union 2
united 3
upper 1
used 1
ussr 1
very 1
vietnam 1
visit 1
was 1
went 2
were 1
west 1
when 1
with 3
withdrawal 1
world 3
years 1
