838560
/m/03fvh7
/m/03fvh7
Fay Weldon

{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 13
abandoned 1
abnormally 1
accordance 1
accounting 1
actions 1
affair 2
affairs 1
agency 2
alias 2
aliases 1
alone 1
an 2
and 16
another 1
appear 1
appearance 1
arrest 1
arrive 1
as 4
at 5
away 1
based 1
be 2
becoming 1
beginning 1
begins 2
behave 1
believes 1
bobbo 10
bobbos 5
body 1
bookkeeping 1
burning 1
by 2
calls 1
cancer 1
care 1
caused 1
causing 3
change 1
children 4
claiming 1
classes 1
clientele 1
completely 2
considers 1
continues 2
control 1
convenience 1
convicted 1
corporate 1
country 1
dead 1
desperate 1
detach 1
developing 1
disappeared 1
disapproval 1
discreetly 1
dominate 1
down 1
dying 1
emotionally 1
employment 1
engage 1
entire 1
expelled 1
extend 1
extramarital 1
extravagance 1
famous 1
father 1
female 1
finances 1
finds 1
fisher 3
fishers 1
for 5
forcing 1
found 1
from 4
given 1
goes 1
going 1
guidance 1
guilty 1
has 4
he 7
her 16
herself 3
him 5
his 2
home 2
hospital 1
house 2
houses 1
housewife 1
husband 1
if 1
imprisoned 1
in 7
inconveniences 1
incriminate 1
indicates 1
inexplicably 1
is 4
it 1
judge 1
knowledge 1
label 1
last 1
later 1
leave 1
leaves 1
life 2
lifestyle 1
live 2
lives 1
love 2
loveless 1
loves 1
made 1
manipulates 1
mansion 1
marriage 1
mary 6
marys 1
may 1
meaningless 1
meantime 1
misery 1
mistress 1
money 3
mother 1
must 1
named 1
nanny 1
new 1
novelist 1
now 3
of 7
office 1
on 3
once 2
only 1
open 1
order 1
over 1
own 2
particularly 1
passionately 1
pearl 2
persuading 1
plots 1
police 1
possession 1
presides 1
prison 2
proceeds 1
promptly 1
proposes 1
psychiatric 1
purchased 1
quickly 1
reassess 1
recreate 1
relationship 1
relationships 1
release 1
religion 1
resolves 1
restructure 1
result 1
retirement 1
revenge 1
rich 1
romance 1
rose 1
ruth 15
same 1
secretaries 1
secretary 2
secures 1
sends 1
sentence 1
series 1
sex 1
sexual 1
sexually 1
she 8
shedevil 1
situation 1
sleeping 1
soon 1
steal 1
stolen 1
string 1
successfully 1
surgeries 1
take 1
taking 1
tall 1
that 5
the 16
their 4
them 1
then 1
there 1
therefore 1
this 1
though 2
through 1
thus 1
time 1
to 17
toward 1
trial 1
truly 1
turns 1
two 1
ugly 1
ultimately 1
under 2
undergoing 1
uses 2
variety 1
vista 1
wastes 1
way 1
wealth 1
wealthy 1
were 1
when 2
while 2
who 3
whom 1
whose 1
will 2
with 7
work 1
works 2
