1463919
/m/053kyx
/m/053kyx
Brian Garfield
1972
a 8
accosts 1
after 1
an 1
and 5
are 1
arizona 1
as 2
attack 1
attacked 1
bait 1
becomes 1
benjamin 6
by 2
car 2
carol 1
case 1
continues 1
cpa 1
daughter 2
death 1
do 1
does 1
drawing 1
eager 1
esther 1
fifty 1
first 2
five 1
for 2
forced 1
friend 1
gas 1
gift 1
gives 1
hands 1
he 3
hides 1
him 2
himself 1
his 7
however 1
in 3
into 2
is 4
it 2
justice 1
last 1
lawbreakers 1
left 1
liberal 1
life 1
lifelong 1
mugger 1
muggers 2
murdered 1
new 1
not 1
novel 2
of 3
on 1
one 1
only 1
out 1
over 2
overturned 1
own 1
pages 1
paranoid 1
paul 1
people 1
pulls 1
reevaluate 1
rents 1
revolver 1
road 1
second 1
sentence 1
seventeen 1
shoots 2
side 1
sign 1
slays 1
so 1
some 1
someone 1
spouse 1
staid 1
state 1
states 1
steal 1
survive 1
take 1
that 2
the 9
them 1
then 1
to 5
traps 1
traumatized 1
trip 1
using 1
vegetative 1
vehicle 1
vengeance 1
victim 1
views 1
waiting 1
weeks 1
when 2
who 1
wife 1
within 1
wouldbe 1
writes 1
york 1
