1086476
/m/044sjl
/m/044sjl
Terry Goodkind
1995-09-15
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/03qfd": "High fantasy"}
a 24
able 2
about 1
access 1
across 1
additive 1
advice 1
afflicted 1
after 5
again 3
age 1
agonizing 1
agrees 1
alive 1
all 6
allows 1
along 2
already 1
also 6
ancestor 1
ancestors 2
and 37
another 2
are 7
army 2
as 8
asking 1
assumes 1
at 3
awakening 1
away 1
aydindril 2
back 6
baka 1
ban 1
band 1
bastard 1
battle 1
be 8
been 2
before 1
begins 1
beheading 1
being 1
belatedly 1
believe 2
believes 1
beloved 1
best 1
between 2
blademasters 1
bond 1
book 1
born 2
both 2
boxes 2
bring 3
bringing 1
brought 2
but 2
by 7
calling 1
can 5
cast 1
casting 1
cat 2
catch 1
caused 1
chance 1
cheer 1
city 1
close 3
collar 8
collective 1
come 1
comes 2
coming 1
command 1
contains 1
continue 1
control 2
corpses 1
correctly 1
councillors 1
counted 1
countryside 1
creator 1
cypher 1
dance 1
dark 1
darken 5
darkness 1
dead 2
death 4
declines 1
dedicated 1
defeats 1
denna 4
desperately 1
despite 1
detail 1
devastated 1
discovers 1
do 1
doesnt 2
down 2
during 1
each 1
ebinissia 2
elizabeth 3
embarks 1
emerges 1
enemy 1
eponymous 1
escapes 1
ever 1
everything 1
executed 1
expected 1
explain 2
explains 1
facetoface 1
fact 1
fatal 1
feather 1
fellow 1
filling 1
final 1
find 2
finding 1
finds 1
first 3
five 1
float 1
flush 1
for 7
force 1
forced 1
foretold 1
forgiveness 1
forth 1
from 9
fulfilling 1
gathering 2
george 1
gets 1
gift 4
glowing 1
go 2
good 2
grace 2
grandson 1
grave 1
greater 1
greatest 1
guidance 1
hand 1
hands 1
harm 1
has 12
having 1
he 23
headaches 4
help 5
helped 1
her 7
herself 3
him 13
himself 1
his 10
home 1
house 4
how 2
if 3
imperial 1
imprisonment 1
in 15
inflict 1
inflicted 1
inform 1
inhabitants 1
instead 1
instructions 1
intentions 2
into 5
involves 1
is 24
it 7
its 1
job 2
joy 1
kahlan 17
keeper 7
kill 1
killing 1
kills 2
knife 1
know 1
knowledge 2
knows 1
larger 1
later 1
learns 4
leaves 2
lets 1
life 1
lifted 1
light 2
lineage 1
living 3
located 1
long 1
longer 1
lost 2
love 1
loves 1
made 1
madness 1
magic 5
magical 2
make 1
makes 1
making 1
mana 1
manages 1
mark 2
mastered 1
maybe 1
merely 1
mind 1
minutes 1
misinterpreted 1
mistake 1
months 1
mother 1
much 2
mud 3
must 2
namely 2
nathan 3
no 1
not 2
now 2
of 54
offer 1
offered 1
offers 1
old 2
on 9
once 1
one 5
only 6
open 1
opening 1
orden 2
order 2
out 2
overrun 1
pain 2
painful 1
palace 8
pass 1
people 4
place 2
placed 1
power 1
prelate 3
prevent 1
previous 1
prophecy 3
prophets 4
prove 1
put 1
puts 1
race 1
races 1
radahan 1
rahl 10
rate 1
rats 2
reaching 1
realize 1
realizes 2
reason 3
received 1
receives 2
refuses 2
reluctance 1
reluctantly 1
remain 1
remaining 2
repair 1
request 1
result 1
retrieve 1
returns 2
reunited 1
revealed 1
reveals 1
richard 33
riot 1
rock 1
rule 3
rushes 1
sacked 2
save 1
says 1
second 5
secret 1
see 1
seeker 1
seeking 1
sees 1
sending 1
sent 4
sentenced 1
series 1
shadow 1
shadows 1
she 6
shocked 1
shota 2
side 1
single 1
sister 9
sisters 10
slower 1
so 2
society 1
soldiers 1
some 1
son 1
speak 1
speaks 1
spell 1
spelled 1
spirit 6
spirits 4
spreading 1
stay 1
stepfather 1
stick 1
stone 2
stop 1
storm 1
strategize 1
streets 1
submits 1
subtractive 1
such 1
surrounding 1
sword 3
tactical 1
tactics 1
takes 1
taking 1
task 2
teach 1
tears 2
tell 2
telling 1
tells 3
terms 1
than 1
that 27
the 141
their 4
them 3
then 1
there 2
thereby 2
therefore 1
these 1
they 5
thing 1
third 3
thirty 1
this 5
those 1
thousand 3
threat 1
three 5
through 2
thus 2
thwart 1
time 3
times 1
to 57
torn 1
torture 1
touches 1
trailing 1
training 2
trap 1
travels 1
trek 1
tries 3
troops 1
truth 2
trying 1
turning 1
two 2
unaware 1
unconscious 1
underworld 6
unleashing 1
unless 1
unstoppable 1
up 1
upon 2
us 1
use 1
users 1
using 1
valley 1
veil 5
verna 3
violated 1
violation 1
visit 1
visited 1
walls 1
war 1
warning 1
was 2
way 2
wear 3
wearer 1
wearing 3
were 2
what 1
when 4
which 4
white 1
who 4
whole 1
whom 1
will 6
wind 1
witch 1
with 16
within 3
wizard 4
wizards 1
woman 1
world 7
worlds 1
years 2
you 1
younger 1
your 1
youthful 1
zedd 2
zeddicus 1
zorander 1
zul 1
