1396233
/m/04z8c4
/m/04z8c4
Clive Cussler

{"/m/017rf8": "Techno-thriller", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
103nbspmph 1
154 1
83 1
a 30
abduction 1
about 1
ace 1
action 1
acts 2
admits 1
aegean 2
aerial 1
after 2
against 1
agencies 1
agency 1
agents 1
air 1
aires 1
airfield 1
al 3
albatros 1
albatross 1
all 1
amongst 1
an 2
ancient 1
and 20
any 1
anything 1
approach 1
are 2
armed 1
arms 1
as 7
assignment 2
at 4
attached 1
attack 2
attempt 3
attempting 2
automated 1
aware 1
base 1
basis 1
battle 1
be 2
bearing 1
beautiful 1
been 4
before 2
being 1
believe 1
believes 1
best 1
billion 1
biplane 4
black 1
boat 1
book 1
bottom 1
brady 1
bright 2
bruno 5
buenos 1
bureau 3
bus 1
by 2
c133 1
call 1
called 1
campaign 1
can 2
captain 1
capture 1
captured 1
cargo 2
cargomasters 1
casablanca 1
catalina 1
catch 1
choice 1
choosing 1
class 1
commander 1
completely 1
comrade 1
concealed 1
confronts 1
control 1
converted 1
convicted 1
couple 1
craft 1
crew 1
criminal 1
cross 1
current 1
custody 1
customs 1
d3 1
death 2
deputy 1
desperate 1
despite 1
destroying 1
detached 1
development 1
die 1
dinner 2
director 2
dirk 6
disappearance 1
discovers 1
distress 1
distributors 1
does 2
dogfight 1
dollar 1
dollars 1
door 1
drug 1
easily 1
economy 1
effort 1
efforts 1
else 1
end 1
enforcement 1
engages 1
entrance 1
era 1
escape 2
escaping 1
evening 1
eventually 1
evidence 1
exit 3
expedition 1
explained 1
explains 1
f105 1
faceoff 1
familiar 1
federal 3
felon 1
field 1
fight 1
fighter 1
fighters 1
find 1
first 4
fleet 1
flying 2
following 2
for 4
force 1
forces 1
fossil 1
found 2
from 3
full 1
german 4
germany 2
get 1
giordino 1
girls 1
given 1
goes 1
gold 1
goods 1
great 1
greek 2
gunn 1
gunpoint 1
guns 1
had 2
hades 3
half 1
has 5
have 3
hawk 1
he 8
heinous 1
her 1
hercules 1
heroin 2
hiebert 1
highranking 1
him 2
his 12
history 1
holds 1
however 1
hungry 1
i 4
iboat 1
ii 1
illegal 1
in 13
include 1
inspector 4
instant 1
interpol 3
into 5
introduced 1
invites 1
involvement 1
is 13
island 1
it 2
italy 1
its 3
japanese 1
just 1
known 2
kurt 1
labyrinth 2
large 1
lastditch 1
later 2
launches 2
law 1
leads 1
learns 1
leave 1
line 1
lines 1
lion 3
living 2
lovingly 1
lt 1
macedonia 1
machine 1
maltese 1
mammal 1
many 4
marine 1
may 1
mayday 1
meet 1
meets 1
members 1
midnight 1
minerva 1
mishaps 1
mission 1
more 1
mortal 1
multimillion 1
mysterious 1
named 2
naples 1
narcotics 3
national 1
nazi 1
nearby 1
nearly 2
nefarious 1
no 1
not 1
nothing 2
now 1
numa 1
of 42
officers 1
old 1
on 6
once 1
one 2
only 1
operation 2
or 2
other 1
own 1
painted 1
part 1
passages 1
pby 1
person 1
pit 3
pitt 9
possible 1
primary 1
prisoner 1
projects 2
quickly 1
raised 1
receive 1
recent 1
recorded 1
reemergence 1
related 1
reports 1
research 2
resistance 1
resources 1
responsible 1
returns 1
revealed 1
revenge 1
rifles 1
roaming 1
rudi 1
runways 1
scientists 1
sea 1
seduces 1
seek 1
sent 1
sentenced 2
set 1
she 1
shepherd 1
shipping 1
ships 3
shred 1
slavery 1
smuggle 1
smuggler 1
smuggling 3
sold 1
somewhere 1
spanish 2
spate 1
special 2
spectacular 1
speed 1
starfire 1
startling 1
states 3
stop 1
strafing 1
struggle 1
submarine 2
successful 1
successfully 1
sudden 1
sunken 1
surmises 1
surveillance 1
suspected 1
suspects 1
swim 1
taken 1
teaser 1
teenage 1
teri 2
than 1
that 12
the 58
theft 1
their 3
them 1
these 1
they 4
through 1
thsos 1
till 16
times 1
to 18
top 1
toppled 1
tower 2
trademark 1
transportation 1
transporting 1
traveling 1
try 1
two 1
types 1
u1 1
uboat 1
unable 1
uncle 1
under 2
underwater 1
united 3
up 1
used 1
using 4
very 1
vessel 1
victorious 1
villa 3
villagers 1
villain 1
von 16
war 6
was 3
were 1
what 1
when 3
where 1
which 4
while 2
white 2
who 1
whom 1
whose 1
with 7
without 1
woman 1
world 6
worldclass 1
worth 1
wrecks 1
yellow 2
young 1
zacynthus 1
