21721281
/m/05msnfv
/m/05msnfv
Peter Robinson
2008-08
a 7
alan 1
and 7
annie 3
another 1
are 2
as 1
awakened 1
back 1
banks 2
beautiful 1
body 1
but 1
by 1
cabott 1
called 1
children 1
current 1
dales 1
day 1
dci 1
deadly 1
deceit 1
deeper 1
designer 1
di 1
digs 1
discovers 2
discovery 2
eastvale 1
everything 1
extend 1
family 1
finds 1
for 1
freedom 1
friends 1
from 2
girlfriend 1
group 1
had 1
halfterm 1
hanging 1
hardcastle 1
has 1
he 5
himself 1
hindswell 1
his 3
idyll 1
idyllic 1
in 2
into 1
investigation 1
is 7
it 1
its 1
june 1
last 1
leads 1
life 1
man 2
mark 1
monster 1
more 1
murder 1
mystified 1
near 1
new 1
nobody 1
norm 1
nothing 1
of 4
othello 1
own 1
planned 1
plunged 1
points 1
problem 1
production 1
reach 1
river 1
safe 1
secrets 1
seems 1
seen 1
set 1
shadowworld 1
shattered 1
shattering 1
solution 1
soon 2
spending 1
successful 1
such 1
suicide 1
swimming 1
take 1
that 1
the 12
theatre 1
their 2
then 1
to 5
tree 1
want 1
weekend 1
wellliked 1
what 1
where 3
why 1
will 1
with 1
woods 1
would 1
yorkshire 1
