7371649
/m/025_n5y
/m/025_n5y
David Nicholls
2003
10 1
185 1
a 3
additionally 1
after 1
alice 1
although 1
amongst 1
an 1
and 5
arriving 1
at 2
attraction 1
because 1
been 1
between 1
book 1
brian 4
but 1
catchphrase 1
caught 1
challenge 2
childhood 1
chronicles 1
chum 1
collector 1
common 1
counterculturalist 1
drop 1
epstein 1
essex 1
falls 1
family 1
famous 1
fan 1
father 1
finds 1
first 1
firstperson 1
for 2
forced 1
friends 1
general 1
gives 1
glamorous 1
harbinson 1
has 1
have 1
he 4
health 1
himself 1
his 6
ill 1
in 5
initially 1
is 5
its 2
jackson 1
join 1
knowledge 1
late 1
life 1
may 1
members 1
middleclass 1
misadventures 1
more 1
mutual 1
narrative 1
new 1
not 1
obsessive 1
of 6
old 1
on 1
one 1
opportunity 1
other 1
out 1
promptly 1
quiz 1
rebecca 1
seaside 1
seizes 1
selected 1
set 2
show 2
since 1
somewhat 1
southend 1
starter 1
story 1
student 1
team 2
teammate 1
television 1
the 10
title 1
to 3
told 1
town 1
tv 1
university 5
unnamed 1
unsuccessful 1
upon 1
used 1
watch 1
which 1
with 3
workingclass 1
year 1
your 1
