2838649
/m/085_9l
/m/085_9l
Anthony Burgess
1976
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
150 1
177 1
a 1
abba 4
adventures 1
an 2
and 4
apart 1
as 2
beard 1
belli 3
book 1
burgess 1
by 1
byron 1
character 2
city 1
comic 1
companion 1
descendant 1
dialect 1
ensue 1
eternal 1
focus 1
gioacchino 1
giuseppe 1
here 1
hollywood 1
in 1
interesting 1
is 2
it 1
italian 1
jets 1
john 1
keats 1
lucrezia 1
main 2
meets 1
narrative 1
next 1
novel 1
of 2
off 1
on 1
paola 1
photographer 1
piece 1
poet 2
poets 1
references 1
roman 2
romantic 1
ronald 1
screenplay 1
setting 1
shelley 1
some 1
subject 1
switches 1
the 11
to 4
various 1
years 1
