16880989
/m/0409cnx
/m/0409cnx
Jackie Collins
1968
{"/m/05hgj": "Novel"}
a 2
able 1
about 1
actress 1
advertising 1
affair 1
after 1
alcoholic 1
an 3
and 7
apartment 1
are 1
at 1
back 1
be 1
beautiful 1
cheats 1
child 1
claudia 3
cooper 1
david 4
different 1
divorce 2
each 1
ends 1
executive 1
fails 1
falls 2
fields 1
files 1
film 1
finalised 1
finally 1
finds 1
first 1
for 1
go 1
grossman 1
has 2
he 1
her 2
him 1
his 4
hollywood 1
however 2
ideas 1
impotent 1
in 3
into 2
is 1
jay 1
letting 1
linda 4
london 1
marriage 1
marry 1
meets 1
middleaged 1
miss 1
mistake 1
model 1
months 1
mousy 1
moves 1
now 1
of 1
on 1
only 1
other 1
out 1
pair 1
parker 1
perform 1
pregnant 1
producer 1
protesting 1
realising 1
relents 1
renders 1
secretary 1
seeing 1
set 1
she 2
sick 1
six 1
sixties 1
spinster 1
star 1
started 1
stupor 1
swinging 1
that 2
the 6
to 4
ultimately 1
virtually 1
wants 2
when 2
who 1
wife 1
win 1
with 3
young 1
