12937367
/m/02z0llj
/m/02z0llj
Chang-Rae Lee
1999-09-06
30 1
a 28
abducted 1
able 1
about 14
accept 2
accepted 1
accident 1
adopted 2
after 2
again 3
agent 1
ago 1
all 2
almost 1
along 2
also 4
although 2
an 1
and 32
any 1
apply 1
area 1
argue 1
arrested 1
arrived 1
as 3
asked 1
at 7
authority 1
away 1
baby 1
back 2
background 1
basis 1
be 1
because 4
becomes 5
bedley 3
before 1
beginning 3
begins 2
behind 1
between 3
big 1
bribed 1
brought 1
burning 1
burns 4
but 7
by 5
called 1
calls 1
can 3
captain 2
care 2
change 1
changes 1
child 1
clear 5
close 1
comes 2
comfort 2
como 2
conflict 1
consists 1
conversation 1
couple 1
crawford 1
current 1
dad 1
daily 1
daughter 6
day 2
dead 1
dealt 1
decent 1
describes 2
did 1
died 1
difficult 1
difficulty 1
doc 18
doctor 2
does 6
dubious 1
during 3
each 1
early 1
end 2
estate 1
even 1
every 2
everybody 1
everything 1
experiences 2
explains 1
explicitly 1
fact 1
fell 1
fight 2
find 1
finds 1
first 5
fit 1
flashback 2
flashbacks 1
following 1
for 7
franklin 1
from 8
fun 1
gardening 1
get 2
gets 1
getting 1
girl 5
girlfriend 1
gives 4
giving 1
goes 2
going 5
grandfather 1
had 3
handle 1
has 4
hata 19
he 43
her 14
him 7
himself 1
his 29
home 1
hospital 2
house 5
how 6
ie 1
ii 1
implicitly 1
impressed 1
in 20
information 3
inhabitants 1
initial 1
insights 1
instead 1
into 1
introduces 1
is 16
it 9
japan 2
job 1
just 1
k 4
kill 1
killed 2
kind 2
know 1
kurohata 1
later 1
leaving 1
lieutenant 1
life 1
line 1
lines 1
little 1
liv 1
lives 3
living 1
lot 6
love 1
main 1
many 1
mary 4
meeting 1
meets 3
mentions 1
money 1
more 2
most 2
move 1
named 1
nanny 1
narrator 1
nearly 1
need 1
neighbors 1
never 1
new 3
not 8
now 1
of 21
officer 3
officers 1
old 3
on 8
one 3
ono 2
or 2
other 3
others 2
own 1
particular 1
past 2
person 2
persons 1
piano 1
piece 1
place 2
playing 1
pleasures 1
point 3
police 1
pool 1
problems 2
prostitute 1
protect 2
quickly 1
quite 1
raising 1
rape 1
raped 1
reaches 1
reader 2
real 3
regular 1
relationship 3
relevant 1
remember 1
remembers 4
retired 1
rituals 1
routines 1
run 3
runs 1
salary 1
same 1
say 1
see 1
seems 1
seen 1
sell 1
sells 1
separated 1
services 1
she 12
shopkeeper 1
show 1
sitter 1
situation 4
small 1
so 1
sold 1
soldiers 4
some 1
son 2
soon 1
speaks 1
special 1
specifically 1
spends 1
start 1
starts 1
stay 2
stops 1
store 5
story 8
sub 1
such 1
sunny 17
swim 1
takes 2
talk 1
talks 2
teenage 1
tell 1
tells 1
that 20
the 50
their 1
them 1
then 2
there 1
they 1
thinks 2
this 5
thomas 1
thought 1
time 11
times 1
to 20
told 2
too 1
took 1
town 1
tragedy 1
treatment 1
treats 1
tried 2
trouble 1
until 1
up 1
very 4
visits 2
want 1
wanted 3
wants 1
war 5
was 7
we 1
well 1
were 1
what 2
when 3
where 2
which 2
while 3
who 5
whole 2
whom 1
with 14
without 1
woman 1
women 1
works 1
world 1
would 1
york 1
young 4
