872379
/m/03kfq5
/m/03kfq5
Henri Charrière
1969
11 1
131 1
145 1
14year 1
18 1
26 1
a 24
abandoned 1
aboard 1
about 1
accompany 1
account 1
acquired 1
adept 1
after 6
again 1
against 3
agreed 1
all 1
along 1
also 2
america 1
americans 1
among 1
an 7
and 24
andr 1
another 3
any 2
around 1
arriving 1
as 5
asia 1
assimilated 1
assistance 1
asylum 2
at 9
atlantic 1
attempt 5
attempting 1
attempts 1
away 1
back 1
banker 1
barranquilla 1
be 4
became 2
been 1
befriended 1
began 1
being 1
bishop 1
boarded 1
boat 2
book 1
bound 1
brief 1
british 2
brother 1
brutal 1
but 2
by 10
caen 1
called 1
camps 1
capital 1
captured 2
carried 1
carry 1
caught 1
celebrity 1
chang 1
charger 2
chinese 1
citizenship 1
claimed 1
cliff 1
clousiot 3
coast 1
coastal 1
coastline 1
coconut 2
coconuts 2
collaborated 2
colombian 2
colony 4
company 1
conditions 1
confinement 2
containing 1
continue 1
convicted 2
convicts 1
could 2
counterfeiting 1
cuic 4
curaao 1
cured 1
current 1
cut 1
cylinder 1
dashed 2
days 1
de 1
death 2
decided 3
dega 2
destroyed 1
detention 1
devil 3
devoured 1
diamonds 1
discovered 1
distance 1
diving 1
dominated 1
dorado 1
drift 1
drifting 1
drowning 1
du 2
duly 1
dutch 1
east 1
eight 1
el 1
endure 1
endured 1
enough 2
entered 1
escape 8
escaped 1
escapees 3
even 1
eventually 2
every 1
everyone 1
experimented 1
extradited 1
failed 2
family 1
far 2
feign 1
few 1
find 1
finding 2
five 1
floating 1
flotation 1
foiled 1
for 9
former 1
found 1
france 1
free 2
french 4
from 8
georgetown 1
girl 1
given 1
gran 1
ground 1
group 3
guajira 1
guarded 1
guiana 4
had 3
hard 1
has 1
have 1
he 17
heavily 1
helped 1
high 1
him 3
himself 2
his 6
hollow 1
horrible 1
hut 1
ill 1
illness 1
imprisoned 3
in 15
inescapable 1
infamous 1
infirmary 1
informant 1
inlet 3
insane 2
insanity 1
into 5
is 1
island 12
it 2
joined 2
journey 1
justice 1
killing 1
kilometers 1
knives 1
labor 1
lack 1
landfall 1
large 1
later 1
le 1
learned 1
leaving 1
leper 1
les 3
let 1
life 5
lived 2
lodged 1
louis 1
made 4
mainland 3
makeshift 1
making 1
man 2
maroni 1
married 1
marta 1
maturette 3
men 4
mental 1
metal 1
mining 1
mobile 1
money 1
months 2
most 1
motivated 1
murder 2
murders 1
named 4
native 1
navigable 1
navigated 1
near 1
nearing 1
nearly 1
nineteen 1
northwest 2
not 3
noticed 1
numerous 1
object 1
obtaining 1
ocean 2
october 2
of 20
officials 1
on 8
only 1
original 1
other 3
others 1
out 2
over 1
papillon 21
paradise 1
pearl 1
penal 3
penalty 1
peninsula 1
period 1
pig 2
pigeon 1
pirate 1
plan 1
population 1
pregnant 1
prematurely 1
previously 1
prison 6
prisoner 5
prisoners 2
pronazi 1
prospered 1
protect 1
protected 1
pulp 1
punishment 2
quicksand 3
raiding 1
reaching 1
realizing 1
reason 1
reasoning 1
rectum 1
reduced 1
regime 1
region 2
regular 1
relative 1
release 1
released 1
relentless 1
requested 1
returned 1
reunited 1
risked 1
river 1
rocks 2
rocky 1
route 1
royal 3
sabana 1
sack 1
sacks 2
sail 2
sailboat 1
sailed 1
saintjoseph 1
salut 3
same 1
santa 1
save 1
sea 1
seek 1
seeking 1
sent 3
sentence 2
sentenced 3
separate 1
settle 1
settlement 1
seventh 2
several 2
sharkinfested 1
ships 1
sighted 1
sisters 1
small 1
smallest 1
solid 1
solitary 2
some 1
soon 2
south 1
southeast 1
specialty 1
spending 1
stabbed 1
starting 1
status 1
stay 1
studying 1
sun 1
support 1
surrounded 2
surviving 2
sylvain 2
take 1
teenage 1
that 6
the 59
their 5
them 3
themselves 1
then 1
there 5
they 7
this 5
those 2
though 1
three 1
threw 1
throwing 1
time 1
to 35
towards 1
town 1
transferred 3
trinidad 1
trio 1
two 4
ultimately 1
unable 1
uncommon 1
under 1
upon 2
using 3
venezuela 2
venezuelan 1
vengeance 1
vessel 1
vichy 1
vicinity 1
village 2
was 20
waters 2
wave 2
way 1
ways 1
went 1
were 10
when 1
where 2
which 2
while 1
who 3
whom 1
whose 1
wind 1
with 6
would 1
wronged 1
wrongly 1
years 3
