2477863
/m/07gsqq
/m/07gsqq
Carl Hiaasen
1993
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 28
act 1
addict 1
after 2
again 2
agent 1
agents 1
agreed 1
agrees 2
al 1
ally 1
also 1
an 7
and 28
angela 4
anonymous 1
another 2
anybody 1
applying 1
approaches 1
are 2
arrest 1
arrested 1
as 5
asks 1
assist 1
at 6
attack 1
attacked 1
attacker 1
attempted 1
aunt 1
avoiding 1
away 1
awed 1
bachelor 2
back 1
bars 1
be 2
beats 1
beaver 1
become 2
becomes 2
bed 1
been 4
before 1
being 1
believes 1
best 1
bitter 1
blackmail 1
blackmailer 1
body 1
bookish 1
boss 2
both 1
bottle 2
bouncer 2
busted 1
but 4
by 8
call 1
campaign 1
can 2
cane 6
car 1
career 1
caught 1
champagne 1
champagnebottle 1
chaos 1
circumstances 1
clark 1
climbs 1
club 5
comes 2
compares 1
congressional 1
congressman 4
conscious 1
continue 1
continued 1
control 1
copy 1
costs 1
court 2
cowboy 1
criminal 2
currently 1
custody 2
customer 1
cut 1
dance 1
dancer 1
dancers 2
dancing 3
darrell 11
daughter 2
david 1
dc 1
death 1
decides 1
deciding 1
decision 1
demanding 1
demands 1
desperately 1
destroy 1
detective 1
dilbeck 20
disappears 1
discovers 1
disgusted 1
disney 1
dispute 1
divorce 1
drawing 1
driver 1
drives 1
drop 1
drug 1
druginduced 2
drunken 1
during 4
eager 1
easily 1
easy 1
either 1
employers 1
engaged 1
ensues 1
enters 1
entertainment 1
epilogue 1
erin 22
erotic 2
escape 1
even 2
ever 1
evidence 2
exchange 1
exhusband 1
exposure 1
expunged 1
extravagant 1
falling 1
family 1
fans 1
farming 1
favor 2
favors 1
fbi 4
fed 1
fiancee 2
field 2
fight 1
finds 1
fired 1
first 1
fixer 1
floating 1
florida 3
follows 1
for 11
forced 1
fork 1
forms 1
fort 1
found 2
freshly 1
friends 1
from 7
function 1
furious 1
garcia 3
gathering 1
give 1
given 2
gives 1
gone 1
gotten 1
grabs 1
grand 1
grant 2
greedy 1
groom 1
groomtobe 1
guber 4
had 1
handler 1
hard 1
has 6
have 2
having 1
he 11
help 1
helpless 1
her 15
herself 1
him 6
his 12
homicide 1
hospitalized 1
house 1
hurry 1
hush 1
if 1
impelled 1
implication 1
in 18
inadvertently 1
incorrigible 1
indirectly 1
industry 1
influencing 1
informant 2
inside 1
into 4
ironically 1
irresponsible 1
is 26
it 4
jerry 3
job 3
judge 3
kidnapped 1
killed 1
killian 4
knowing 1
lane 1
larceny 2
latenight 1
lauderdale 1
lawyer 1
led 1
legal 2
life 1
likewise 1
limousine 1
linking 1
loses 1
lovestruck 1
lucrative 1
lust 1
machine 1
main 3
malcolm 1
man 2
manipulate 1
meeting 1
memory 1
miami 1
middle 1
milling 1
moldowsky 7
money 3
montana 1
mordecai 3
more 2
most 1
mother 1
moves 1
murder 2
murdered 2
must 1
named 1
nearly 1
necessary 1
needs 1
new 1
next 1
night 3
normal 1
not 2
notes 1
nothing 1
now 1
nude 1
obsessed 1
occupation 1
of 19
off 1
offers 2
old 2
on 5
one 3
only 1
or 1
ordering 1
orders 1
other 1
out 1
owned 1
parade 1
party 2
patron 1
patrons 1
paul 3
performance 3
person 1
phase 1
photo 1
picture 1
pistol 1
place 1
plan 2
point 1
police 2
political 1
possess 1
prejudiced 1
prelude 1
price 1
private 2
probably 1
probing 1
profession 1
prominent 1
prosperity 1
proves 2
public 1
rage 1
rape 2
realized 1
realizes 1
received 1
recognizes 1
record 2
reelection 2
refuses 1
refusing 1
related 1
removed 1
rendered 1
repeat 1
reselling 1
resign 1
resigns 1
resistant 1
restore 1
result 1
returns 1
reverse 1
river 1
rubber 1
running 1
safeguard 1
said 1
same 1
saying 1
seat 1
second 1
secret 1
secretary 2
seduce 1
seized 1
sex 1
shad 1
she 5
show 2
since 1
single 1
sleazy 1
slowdance 1
slumber 1
snapped 1
snatches 1
sparked 1
special 1
squad 1
stage 1
stamp 1
stand 1
starts 1
stealing 1
stops 1
street 1
strip 1
striptease 1
stupidity 1
sugar 2
supporters 1
supports 1
surfaces 1
swinging 1
take 1
taken 1
takes 1
that 6
the 49
their 1
them 1
threat 1
time 2
tipping 1
title 1
to 33
totally 1
trapped 1
tries 3
ultimatum 1
under 1
unimpressed 1
unknown 1
until 1
up 5
upon 1
us 1
used 1
vacation 1
vexed 1
view 1
wait 1
walt 1
was 3
washington 1
watchdogging 1
way 2
wheelchairs 1
when 5
where 1
which 3
while 2
who 3
wild 1
will 2
winds 1
with 14
women 1
world 1
yet 2
you 1
young 1
