21588569
/m/05my219
/m/05my219
Melissa Marr
2009-04-21
a 7
abducted 1
about 4
advisor 1
after 2
against 3
aislinn 24
also 1
an 1
and 21
any 2
apologize 1
are 3
arguing 1
arouses 1
as 11
asks 1
at 2
attempt 1
attempts 3
attracted 1
attraction 1
aware 1
balance 1
bananach 3
be 2
because 2
been 2
beg 1
begins 1
being 2
believing 1
better 1
between 1
blames 1
book 1
bothered 1
breaks 1
brother 1
but 3
by 3
calls 1
can 2
cannot 1
capable 1
cause 1
chooses 1
conflicts 1
connection 1
court 6
courts 2
crushes 1
curious 1
dark 1
dating 1
day 1
days 1
deal 1
decided 1
develops 1
devlin 1
disappearance 1
discovers 2
discusses 1
dispose 1
donia 6
down 1
due 1
during 3
each 2
effects 1
ends 1
especially 1
even 1
event 1
events 1
eventually 1
except 1
explains 1
fae 2
faerie 4
faery 4
faith 1
find 1
five 1
follow 1
following 1
for 10
forgiveness 1
from 2
gabriel 1
gaining 1
getting 1
goes 1
going 1
gone 1
good 1
great 1
growing 2
grows 1
happy 1
has 3
have 1
having 1
he 8
heal 1
her 17
herself 1
high 2
him 12
his 8
home 1
hounds 1
house 1
how 1
however 1
hunt 1
hurt 1
ice 1
if 1
immortality 1
impending 1
impossible 1
in 12
increasingly 1
influence 2
is 14
it 2
keenan 17
king 2
kisses 1
knowing 1
leave 1
leaving 1
lets 1
life 1
long 2
longing 1
loves 1
mad 1
make 3
means 1
meanwhile 1
missing 1
month 1
months 1
more 1
mortal 1
mortality 1
motherson 1
much 1
must 1
near 1
niall 6
normal 1
not 6
novel 2
now 1
of 13
offers 2
on 2
once 1
one 4
only 3
or 2
orders 1
other 2
out 2
outside 1
over 2
own 1
pair 1
peace 1
perfectly 1
permission 1
physically 1
point 1
potential 1
powerful 2
powers 1
predictions 1
promise 1
protect 2
protection 1
queen 4
reality 1
really 1
rebuffed 2
relationship 7
rescue 1
return 1
returned 1
reveal 1
revelries 1
runs 1
season 2
seduce 1
see 2
seth 20
she 2
sister 1
six 1
sleep 1
so 2
sorcha 8
space 1
stabs 1
stays 1
stop 1
strengthen 1
strong 2
stronger 1
suggesting 1
summer 5
surprised 1
takes 1
tell 3
telling 2
tells 4
than 1
that 12
the 30
their 3
then 2
there 1
this 5
threat 3
threats 1
throws 1
ties 2
time 2
to 30
too 1
topples 1
touch 1
train 1
treated 1
trying 1
twin 1
unaware 1
unsatisfied 1
unsuccessful 1
up 1
upon 1
using 1
violence 2
visit 1
visits 1
walks 1
war 1
ways 1
weakest 1
well 2
what 1
when 1
where 1
which 1
while 1
who 2
whole 1
will 1
winter 1
with 15
without 1
woo 1
world 2
worry 1
would 3
year 1
