5710423
/m/0f0j9d
/m/0f0j9d
Chris Riddell
2001-09-03
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 16
about 1
academe 5
academy 1
accidentally 1
adopts 1
after 1
again 2
agrees 1
all 2
allies 1
allow 1
ambushed 1
an 8
ancient 4
and 24
are 4
arrives 2
arrows 1
as 5
asked 1
assistant 1
assumes 1
at 2
attacked 1
attempt 4
attempts 1
back 1
backfires 1
bad 1
badly 1
bagswill 1
barely 1
be 3
before 2
begins 2
behind 1
being 1
believes 1
between 1
beverage 1
bloodred 1
book 2
brothers 1
building 2
built 2
bungus 5
burning 1
but 4
by 11
cage 4
caved 1
center 1
chain 3
chased 1
chine 2
city 1
climb 1
concerned 1
confronted 1
confronts 1
connecting 1
consists 1
contraption 1
could 1
create 2
created 1
creature 4
curious 1
curses 1
cut 2
cutting 1
daughter 1
deadly 1
delirious 1
demand 1
demon 1
discovered 1
dismayed 1
disowned 1
does 1
doing 2
down 1
drawn 1
drink 1
ear 1
earthscholar 1
ends 1
energy 1
enter 1
entering 1
enters 1
entrance 1
escape 1
even 1
events 1
everchanging 1
exhausted 1
explanation 1
exploring 1
fact 1
famous 1
father 3
favoring 1
fear 1
find 3
fire 4
first 3
flathead 1
flees 1
floating 2
follow 2
followed 1
follows 1
footsteps 1
for 4
forever 1
form 3
fourteenyearold 1
friend 1
from 4
futile 1
futilely 1
ghostlike 1
gives 1
glister 3
glisters 1
gloamglozer 5
gloamglozerquint 1
goblin 1
goes 1
good 1
great 1
guard 1
had 2
harnessing 1
hates 1
have 1
he 7
help 2
hence 1
her 4
high 4
him 4
himself 1
his 9
how 1
however 3
in 20
inside 1
intending 1
into 3
is 17
it 5
its 2
jackal 2
kill 3
killed 3
knights 1
knocked 1
known 3
laboratory 6
lair 1
leave 1
leprix 1
librarian 1
library 1
life 2
light 1
linius 22
lives 1
locked 1
low 1
lowsky 1
manage 1
manages 1
maris 13
massive 1
meanwhile 2
mistsifting 1
monster 2
most 1
mother 1
move 1
nearly 1
neither 1
next 1
not 2
now 1
of 19
off 4
on 6
one 1
ones 1
only 2
or 1
ordeal 1
order 2
out 5
over 1
overcome 1
overcomes 1
own 1
palace 1
pallitax 3
personal 1
phobia 1
pirate 1
pleased 1
poison 1
poisoned 1
position 1
power 1
professor 1
promised 1
promises 1
quint 28
real 1
recovered 1
releasing 1
remaining 1
repel 1
rescue 2
rescues 1
research 1
resolve 1
resolves 1
respect 1
return 2
returning 1
returns 1
revealed 1
revives 1
rock 1
rogue 2
roof 1
ruler 1
safety 1
same 1
sanctaphrax 9
saved 1
scholars 1
school 1
scratched 1
second 1
see 1
seemingly 1
seftus 1
seize 1
septrill 1
series 1
servants 1
set 1
sets 2
shadows 1
shapeshifter 1
she 1
sky 2
skycage 2
slightly 1
slip 1
son 1
spindlebug 1
spot 1
state 2
stave 1
stay 1
stays 1
steers 1
stonecomb 7
stop 1
storms 1
subdean 1
substance 1
take 1
tell 1
telling 1
terrible 1
than 1
that 4
the 59
their 4
them 2
then 2
they 6
this 3
thought 1
time 4
title 1
to 37
top 1
trapping 1
traps 1
travel 1
travels 1
tries 2
true 1
try 1
trying 2
tunnels 1
turn 1
turns 1
tweezel 1
two 1
unconscious 1
undertown 1
unseen 1
unused 1
up 1
use 1
used 1
using 3
valiant 1
visited 1
was 3
way 2
were 2
what 5
when 3
which 3
while 2
who 4
wind 2
with 5
within 1
worse 1
