19566821
/m/04n4yfj
/m/04n4yfj
Glen Cook
2008-05
a 11
about 1
above 1
accompanied 1
acting 1
age 1
alyx 2
an 1
and 16
are 1
as 1
aspirations 1
at 1
attention 1
attracting 1
baron 1
bat 1
be 1
become 1
been 2
beer 2
being 1
beneath 1
beset 1
bit 1
breakin 1
breakins 1
bringing 1
bugs 5
building 1
built 1
business 1
by 5
bygone 1
called 1
careful 1
construction 1
contact 1
controlled 1
convincing 1
creature 1
creatures 1
crew 1
daughter 2
dead 1
disturbing 1
door 1
dormant 1
down 1
drinking 1
eleanor 1
eliminates 1
end 1
ends 2
entity 1
eons 1
even 1
experimentation 1
father 1
favorite 1
fiery 1
figures 1
finding 1
for 5
form 1
friends 1
from 4
furious 1
gang 1
garrett 6
ghostly 1
ghosts 2
girlfriend 1
girls 1
ground 1
group 1
guard 1
hand 1
happy 1
has 2
have 3
he 1
help 2
hill 2
his 7
hot 1
humans 1
in 4
including 1
interrupt 1
intrudes 1
is 6
it 7
its 1
job 1
john 1
keep 1
kids 2
kip 1
knack 1
ladies 1
large 1
led 2
life 1
light 1
living 1
local 1
lounging 1
lovely 1
makes 2
man 1
max 2
meaning 1
more 2
moving 1
much 1
nasty 1
needs 1
new 2
none 1
of 15
off 1
origin 1
other 2
out 2
parade 1
present 1
pretty 1
prince 1
problem 2
product 1
prose 1
question 1
racketeering 1
rats 1
redhead 2
result 1
right 1
rupert 1
saucerhead 1
security 1
seems 2
seldom 1
several 2
she 1
sleep 1
slowed 1
slumbering 1
smoldering 1
some 3
sorceress 1
sorcerous 3
stretch 1
sultry 1
tate 1
telepathically 1
temptress 1
than 1
tharpe 1
that 8
the 28
theater 2
their 1
this 1
through 2
tide 1
tinnie 1
to 5
trouble 2
troupe 1
trying 1
tunfaire 1
turns 2
types 1
until 1
up 3
upon 1
usual 1
vehicle 1
was 1
way 1
weider 2
windwalker 1
winger 1
winter 1
with 3
work 1
world 2
worse 1
wraps 1
yet 1
youngest 1
