2002895
/m/06d84h
/m/06d84h
Michael Crichton
1994-01
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 8
about 1
access 1
accusing 1
advanced 3
advances 2
after 2
aggressively 1
agree 1
agrees 1
all 1
also 1
an 3
and 8
angrily 1
answering 1
appease 1
as 1
at 2
attempts 1
attorney 1
austin 1
be 2
blackburn 1
bob 1
by 1
california 1
called 1
calls 1
case 1
cdrom 2
changed 1
changes 1
colleagues 2
company 6
confronted 1
control 1
costs 1
could 1
counsel 1
coworkers 1
cupertino 1
cut 1
database 1
day 1
defects 2
demands 1
despite 1
did 1
digicom 7
discover 1
discovers 3
discuss 1
division 2
drive 3
due 1
during 1
email 1
enough 1
evidence 2
excuse 1
exgirlfriend 1
expects 1
facility 1
falsely 1
fearing 1
fernandez 1
fire 1
fired 2
for 4
forced 1
former 1
friend 1
from 2
future 1
garvin 1
general 1
gets 2
getting 1
given 1
giving 1
government 1
harassment 2
has 3
have 1
he 6
head 1
headquarters 1
help 1
her 3
him 6
his 6
history 1
house 1
however 1
if 1
in 8
incident 2
incompetence 1
information 1
innocence 1
instead 2
into 1
is 9
it 2
jeopardize 1
jeopardy 1
john 2
johnson 1
known 1
later 2
levin 1
like 1
linda 1
locked 1
look 1
lose 1
louise 1
machine 2
make 3
malaysian 3
male 1
man 1
manufacturing 2
mediation 1
meredith 13
merger 4
morning 1
moved 1
next 1
night 1
normal 1
not 1
nothing 1
obtains 1
of 9
off 1
office 1
officials 1
on 1
one 2
options 2
ostensibly 2
out 3
overhears 1
pay 1
phil 2
planning 1
plant 1
post 1
president 1
problems 1
products 2
project 1
promoted 1
promotion 1
propose 1
prototype 1
prove 1
publicly 1
publishing 1
pushed 1
quality 1
quietly 1
reality 1
recently 1
recorded 1
relationship 1
repeated 1
resist 1
responsible 1
restored 1
resulted 1
resulting 1
resume 1
retaliated 1
run 1
sanders 1
seattle 2
seemingly 1
settlement 1
sexual 3
she 1
since 1
some 1
specifications 1
spun 1
spurns 1
stock 1
stop 1
sue 1
system 1
tables 1
take 1
tells 1
that 10
the 26
their 1
thereby 1
these 1
this 1
threatens 1
through 1
throwing 1
time 1
to 21
tom 15
touch 1
toward 1
traded 1
transferred 1
transferring 1
tries 1
turn 1
unable 1
unless 1
unwelcome 1
virtual 1
vows 1
warning 1
wealthy 1
when 2
which 2
who 2
whole 1
will 1
with 7
would 2
yet 2
