23013725
/m/064lh3b
/m/064lh3b
Jeffery Deaver
1990
{"/m/0lsxr": "Crime Fiction"}
a 2
adult 1
after 1
again 1
against 1
all 1
along 1
also 1
an 3
and 2
as 4
assistant 1
be 1
bomb 2
bombing 1
bury 1
career 1
claims 1
comes 1
danger 1
debut 1
does 1
facing 1
film 3
filmmaker 1
finds 1
first 2
following 1
forever 1
found 1
have 1
her 5
herself 1
hours 1
however 1
ideas 1
independent 1
intended 1
interview 1
just 1
last 1
life 1
lowe 1
may 1
movie 1
now 1
of 2
off 1
on 1
perfect 1
playing 1
porn 1
production 1
project 1
pursuing 1
rune 4
second 1
seems 1
seen 1
she 4
shelly 1
shellys 1
sitdown 1
someone 1
star 1
starts 2
subject 1
target 1
the 7
theatre 1
through 1
to 3
truth 1
underpaid 1
up 1
wants 1
was 2
went 1
when 1
while 1
who 1
whose 1
with 1
wonder 1
work 1
working 1
