10334810
/m/02q8td3
/m/02q8td3
Edward Irving Wortis
1984
{"/m/0dwly": "Children's literature"}
1778 2
3 1
4 1
a 4
abandoned 1
about 1
abruptly 1
against 1
all 1
almost 1
although 1
american 1
an 2
and 10
april 2
are 2
as 1
battle 1
battlefield 1
be 1
been 2
begun 1
being 1
believes 1
bell 1
britain 1
british 2
by 3
capture 1
changed 1
colonists 1
confusion 1
day 2
daydreams 1
death 1
discovered 1
due 1
end 1
enemies 1
eventually 1
excitement 1
exhaustion 1
expects 1
experiences 1
father 1
fear 1
feared 1
fellow 1
fields 1
fighting 1
find 1
for 2
forces 1
forever 1
forming 1
from 3
german 2
glory 1
group 1
hadnt 1
hardly 1
has 2
have 2
he 4
hessians 4
hiding 1
him 2
himself 2
hired 1
his 4
hold 1
home 1
hostage 1
hours 1
house 2
however 1
if 1
in 7
independence 1
instead 1
ironically 1
is 2
jersey 1
jonathan 9
killed 1
lack 1
language 1
later 1
life 1
local 1
long 1
meet 1
mercenaries 1
more 1
never 1
new 1
not 1
noticed 1
now 1
of 6
on 3
or 1
other 1
parents 1
patriots 2
place 1
previous 1
raided 1
rather 1
relationship 1
retreat 1
returns 1
revealed 1
revolutionary 2
rushes 1
soldier 1
some 1
something 1
stockholm 1
story 1
suddenly 1
sure 1
surrenders 1
syndrome 1
takes 1
than 2
thankful 1
that 1
the 17
their 1
them 1
they 1
thirteenyearold 1
three 2
to 6
tolls 1
twentyfour 1
understanding 2
unusual 1
upset 1
village 1
wait 1
war 3
warm 2
warning 1
when 1
whether 1
wishes 1
with 2
works 1
would 1
