1300615
/m/04r31z
/m/04r31z
Louis Cha
1959-05-20
{"/m/08322": "Wuxia", "/m/01qxvh": "Romance novel"}
a 5
adventures 1
after 3
again 2
against 1
age 1
alone 1
ancient 1
and 13
antagonist 1
apart 1
apprentice 1
are 1
artists 1
arts 1
as 2
at 1
attacked 1
becomes 1
being 1
belief 1
better 1
biased 1
briefly 1
bullied 1
by 6
cannot 1
chinese 1
condor 1
confucianist 1
couple 1
courageous 1
dead 1
defeat 1
develops 1
doctrines 1
encounter 1
end 1
falls 1
fatal 1
feelings 1
fellow 1
finally 1
first 1
flees 1
for 3
forbidden 1
formidable 1
from 1
giant 1
gongsun 1
gradually 1
greats 1
grows 1
guidance 1
guo 9
han 1
he 6
helping 1
her 3
heroes 1
him 3
his 5
housed 1
however 1
huang 1
in 4
into 2
invaders 1
is 10
jianghu 1
jing 1
kang 1
later 1
leave 1
leaves 1
li 1
live 1
living 1
love 2
maiden 1
many 1
marriage 1
martial 2
master 1
matches 1
meet 1
meets 2
misunderstandings 1
mochou 1
mongol 1
moral 1
mould 1
mountain 1
mysterious 1
nation 1
nearby 1
novel 2
of 9
often 1
on 2
origin 1
orphaned 1
orthodox 1
owing 1
picked 1
poison 1
promises 1
protagonist 1
prowess 1
pugilist 1
quanzhen 2
raised 1
recognised 1
recover 1
reunion 1
reunited 1
romance 1
romantic 1
rong 1
saved 1
sect 2
sent 1
serves 1
several 2
she 1
sixteen 1
society 1
son 1
song 1
stay 1
story 1
students 1
such 1
tear 1
tests 1
that 2
the 21
their 4
them 1
they 3
threaten 1
throughout 1
time 2
to 4
together 1
tomb 4
too 1
unknowingly 1
unknown 1
until 1
up 1
values 1
ventures 1
wandering 1
where 1
while 2
whose 1
with 4
xiaolongn 4
yang 9
years 2
zhao 1
zhi 1
zhijing 1
