11783675
/m/02rs4qk
/m/02rs4qk
Michael Connelly
2006
12 1
13 1
60 1
a 11
after 1
and 10
are 1
as 3
assigned 1
at 1
be 1
because 1
been 1
between 1
body 2
bosch 5
but 4
called 1
car 1
case 4
cases 1
caught 1
center 1
cerchio 1
charge 1
clothing 1
cold 2
confessed 1
costly 1
could 1
culprit 1
del 1
detective 1
detectives 1
didnt 1
disappearance 1
during 1
earlier 1
echo 1
edgar 3
enough 1
equestrian 1
error 1
evidence 1
files 1
floorboard 1
followed 1
for 1
force 1
found 2
freddy 1
from 1
front 2
garage 1
gesto 4
going 1
had 3
harry 1
has 1
have 1
he 1
her 2
his 3
implicated 1
in 7
industrialist 1
investigator 1
involving 1
is 3
it 1
itil 1
jerry 1
kiz 1
kizmin 1
la 1
lapd 1
likely 1
lupo 1
man 1
marie 3
mdash 1
missing 1
most 1
murder 1
murders 1
nabs 1
nearing 1
neighborhood 1
never 3
novel 1
now 1
of 7
ohea 1
olivas 1
on 2
one 1
openunsolved 1
other 1
out 1
over 1
owner 1
park 1
parker 1
partner 2
parts 1
pawnshop 1
pegged 1
police 1
powerful 1
prestigious 1
pretending 1
private 1
prosecutor 1
prostitutes 1
recent 1
reexamined 1
retired 1
retirement 1
returned 1
reynard 1
richard 1
rider 1
riots 1
roman 1
runaways 1
seat 1
seems 1
serendipitous 1
shortly 1
slayings 1
son 1
soon 1
start 1
stop 1
string 1
suspect 1
svrven 1
that 1
the 20
then 1
they 1
things 1
this 2
thought 1
three 1
tip 1
tipster 1
to 5
traffic 1
turned 1
two 1
unit 1
up 2
van 1
waits 4
was 2
way 1
wealthy 1
week 1
well 1
went 2
when 1
who 1
with 2
within 1
without 1
work 1
worked 1
working 2
would 1
years 1
young 1
