2739269
/m/0803_8
/m/0803_8
Michael Moorcock
1969
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
20th 1
28 1
a 13
ad 1
after 1
against 1
agonized 1
alone 1
an 2
and 13
angel 1
any 1
are 1
arrival 2
as 1
asks 2
at 2
back 1
badly 1
baptise 1
baptist 1
be 2
becomes 2
been 1
begins 3
believed 1
betray 1
bitter 2
body 3
but 1
by 4
can 1
care 1
caused 1
century 1
child 1
chronic 1
claim 1
committed 1
community 1
complex 1
cracks 1
crawls 1
cross 2
cures 1
death 1
decidedly 1
decides 1
deeply 1
desert 1
determined 1
did 1
die 1
dies 1
disappointed 1
doctor 2
down 1
during 1
eat 1
eloi 2
encounters 1
end 2
english 1
essenes 2
everything 1
explain 1
faints 1
find 1
finds 1
flashbacks 1
flees 1
fluidfilled 1
followers 1
food 1
for 2
from 1
gathering 1
gradually 1
group 1
had 1
halfway 1
hallucinating 1
has 1
have 1
he 13
heat 1
help 1
her 1
him 6
himself 1
his 6
historical 1
holy 1
homosexual 1
how 1
however 3
human 1
hunchback 1
hunger 1
hysteria 1
idea 1
ideas 1
illness 1
impregnated 1
in 6
incessantly 1
including 1
injured 1
interest 1
interpolating 1
into 2
is 5
it 3
its 1
jesus 9
john 2
joseph 2
journey 1
judas 1
jung 1
karl 8
known 1
knows 1
lama 1
land 1
last 1
latter 1
lead 1
leading 1
learn 1
lieit 1
lielet 1
little 1
live 1
london 1
machine 3
magical 1
magus 1
makes 1
man 1
many 1
mary 2
me 1
meet 1
memories 1
messiah 1
minds 1
miracles 1
miraculous 1
moorcock 1
more 1
must 1
name 1
nazareth 2
neuroses 1
no 1
normal 1
not 2
numerous 1
occupying 1
of 9
off 1
old 1
on 2
only 1
open 1
openly 1
orders 1
out 2
panics 1
parables 1
parallel 1
past 1
people 1
phonetically 1
point 1
pretend 1
problems 1
profoundly 1
properties 1
psychological 1
puzzled 1
real 1
recall 1
repeating 1
repeats 1
retarded 1
revolt 1
risk 1
role 1
romans 2
rot 1
rumors 1
sabachthani 1
search 1
shows 1
similar 1
simulate 1
since 1
sneers 1
so 1
some 1
sphere 1
step 1
stolen 1
story 3
take 2
tells 1
tendencies 1
than 1
that 4
the 25
their 4
then 2
there 2
they 1
thirst 1
this 1
time 4
to 21
tricks 1
tries 1
troubled 1
turns 1
useless 1
using 1
violent 1
wanders 1
way 1
we 1
what 1
when 5
where 3
who 2
whore 1
why 1
willing 1
with 2
witnessed 1
womblike 1
women 1
word 1
words 1
worse 1
would 1
