3608649
/m/09pp0p
/m/09pp0p
Bret Lott
1991-11
143 1
2 1
40 1
a 4
afraid 1
age 1
although 1
and 5
angrily 1
appears 1
are 1
arrives 1
as 1
at 1
awake 1
baby 3
be 4
becomes 1
booming 1
born 1
brenda 2
burdensand 1
business 1
by 2
carrying 1
cathedral 2
child 3
childhood 1
children 1
clouded 1
cry 1
discover 1
doctor 2
doesnt 2
door 1
down 1
economy 1
eldest 1
empty 1
enlisted 1
even 1
eventually 1
ever 1
every 1
expected 1
fact 1
family 1
finally 1
five 1
for 2
friend 1
go 1
good 1
hardly 1
hardship 1
hardworking 1
has 1
her 3
hilburn 1
hilburns 1
however 2
husband 2
i 1
idiot 1
in 2
increasingly 1
informed 1
instead 1
institutionalize 1
is 9
it 1
james 1
jewel 5
joy 1
joysof 1
kay 1
kayshe 1
last 1
leston 1
life 1
little 1
live 1
living 1
miss 1
mississippi 1
mitigated 1
mongolian 1
months 1
my 1
news 1
normal 1
not 1
now 1
of 2
on 1
one 1
over 1
past 1
plenty 1
prediction 1
pregnant 1
prophecy 1
prophesying 1
providing 1
pushing 1
rebuffs 1
roll 1
say 1
seems 1
she 3
shoulder 1
slightly 1
something 1
son 1
suggestion 1
syndrome 1
take 1
test 1
that 7
the 17
their 1
there 1
they 1
this 2
to 2
troubling 1
unexpected 1
unto 2
war 1
was 1
way 1
when 2
wife 1
with 4
world 1
wrong 1
year 1
yo 2
you 3
